entity_type,name
microbe,Candidatus Endolissoclinum
microbe,Capnocytophaga
microbe,Capnocytophaga gingivalis
microbe,Capnocytophaga leadbetteri
microbe,Carnobacteriaceae
microbe,Catabacter
microbe,Catabacter hongkongensis
microbe,Catenibacterium
microbe,Catonella
microbe,Caudovirales bacteriophages
microbe,Caulobacteraceae
microbe,Cetobacterium
microbe,Chlamydia
microbe,Chlamydia pneumoniae
microbe,Chlamydia trachomatis
microbe,Chlamydophila pneumoniae
microbe,Chloroflexi
microbe,Cholera vibrio
microbe,Christensenella
microbe,Christensenella minuta
microbe,Christensenellaceae
microbe,Chromobacterium haemolyticum
microbe,Chromobacterium violaceum
microbe,Chryseomonas
microbe,Circulating microbiome
microbe,Citrobacter
microbe,Citrobacter freundii
microbe,Cloacibacterium
microbe,Clostidium leptum
microbe,Clostridia
microbe,Clostridia cluster IV
microbe,Clostridia spp
microbe,Clostridiaceae
microbe,Clostridiaceae 02d06
microbe,Clostridiaceae family
microbe,Clostridiaceae spp
microbe,Clostridiales
microbe,Clostridium
microbe,Clostridium III
microbe,Clostridium IV
microbe,Clostridium XI
microbe,Clostridium XIVa
microbe,Clostridium XIVb
microbe,Clostridium XVIII
microbe,Clostridium XlVa
microbe,Clostridium XlVb
microbe,Clostridium aminophilum
microbe,Clostridium baratii
microbe,Clostridium botulinum
microbe,Clostridium butyricum
microbe,Clostridium citroniae
microbe,Clostridium clostridioforme
microbe,Clostridium cluster XIVa
microbe,Clostridium clusters IV and XIVa
microbe,Clostridium clusters IV or XIVa
microbe,Clostridium coccoides
microbe,Clostridium coccoides group
microbe,Clostridium coccoides subgroup
microbe,Clostridium cocleatum
microbe,Clostridium colinum
microbe,Clostridium difficile
microbe,Clostridium groups
microbe,Clostridium histolyticum
microbe,Clostridium hylemonae
microbe,Clostridium lavalense
microbe,Clostridium leptum
microbe,Clostridium leptum group
microbe,Clostridium leptum subgroup
microbe,Clostridium lituseburense
microbe,Clostridium neonatale
microbe,Clostridium perfringens
microbe,Clostridium perfringens butyricum
microbe,Clostridium ramosum
microbe,Clostridium sensu stricto
microbe,Clostridium septicum
microbe,Clostridium sp.
microbe,Clostridium species
microbe,Clostridium spiroforme
microbe,Clostridium spp
microbe,Clostridium spp.
microbe,Clostridium tetani
microbe,Clostridium xylanolyticum
microbe,Collinsella
microbe,Collinsella aerofaciens
microbe,Collinsella spp
microbe,Collinsella spp.
microbe,Comamonas
microbe,Copococcus
microbe,Coprobacillus
microbe,Coprococcus
microbe,Coprococcus 3
microbe,Coprococcus catus
microbe,Coprococcus eutactus
microbe,Coprococcus3
microbe,Coprococcus_g2_uc
microbe,Coriobacteriaceae
microbe,Coriobacteriia
microbe,Cortinariaceae
microbe,Corynebacteriaceae
microbe,Corynebacterium
microbe,Corynebacterium durum
microbe,Corynebacterium spp.
microbe,Cronobacter
microbe,Cryptococcus neoformans
microbe,Cyanobacteria
microbe,Deferribacteraceae
microbe,Deinococcus
microbe,Delftia
microbe,Deltaproteobacteria
microbe,Desulfovibrio
microbe,Desulfovibrio species
microbe,Desulfovibrio spp
microbe,Desulfovibrio spp.
microbe,Desulfovibrionaceae
microbe,Desulfovibrionales
microbe,Devosia
microbe,Dialister
microbe,Dialister invisus
microbe,Dialister pneumosintes
microbe,Dorea
microbe,Dorea longicatena
microbe,Duodenibacillus massiliensis
microbe,E. coli
microbe,Eggerthella
microbe,Eggerthella lenta
microbe,Eggerthellales
microbe,Eikenella
microbe,Eisenbergiella
microbe,Elizabethkingia
microbe,Elusimicrobia
microbe,Enhydrobacter
microbe,Enterobacter
microbe,Enterobacter cloacae
microbe,Enterobacter cloacae B29
microbe,Enterobacter ludwigii
microbe,Enterobacter spp.
microbe,Enterobacteria
microbe,Enterobacteria phage
microbe,Enterobacteriaceae
microbe,Enterobacteriaceae Incertae Sedis
microbe,Enterobacteriaceae spp
microbe,Enterobacteriales
microbe,Enterococcaceae
microbe,Enterococcus
microbe,Enterococcus casseliflavus
microbe,Enterococcus faecalis
microbe,Enterococcus faecium
microbe,Enterococcus sp.
microbe,Enterococcus spp
microbe,Enterococcuss
microbe,Enterorhabdus
microbe,Erwinia
microbe,Erysipelatoclostridium
microbe,Erysipelotrichaceae
microbe,Erysipelotrichaceae Allobaculum spp.
microbe,Erysipelotrichales
microbe,Erysipelotrichi
microbe,Erysipelotrichia
microbe,Escherichia
microbe,Escherichia Shigella
microbe,Escherichia coli
microbe,Escherichia coli Nissle 1917
microbe,Escherichia coli O157
microbe,Escherichia coli strain NC101
microbe,Escherichia fergusonii
microbe,Escherichia phage
microbe,Escherichia-Shigella
microbe,Escherichia/Shigella
microbe,Escherichia/Shigella spp.
microbe,EscherichiaShigella
microbe,Escherichia_Shigella
microbe,Eubacteriaceae
microbe,Eubacterium
microbe,Eubacterium biforme
microbe,Eubacterium coprostanoligenes group
microbe,Eubacterium eligensgroup
microbe,Eubacterium hallii
microbe,Eubacterium ramulus
microbe,Eubacterium rectale
microbe,Eubacterium rectale-Clostridium coccoides
microbe,Eubacterium rectalie
microbe,Eubacterium spp
microbe,Eubacterium sulci
microbe,Eubacterium ventriosum
microbe,Eubacterium_eligens_group
microbe,Eubacterium_g4
microbe,Eubacterium_hallii_group
microbe,Euryarchaeota
microbe,Faecal microbiota transplantation (FMT)
microbe,Faecalbacterium
microbe,Faecalibacteria
microbe,Faecalibacterium
microbe,Faecalibacterium prausnitzi
microbe,Faecalibacterium prausnitzii
microbe,Faecalibacterium prausnitzii-like Butyrate-producing bacterium L2-6
microbe,Faecalibacterium spp
microbe,Faecalicoccus
microbe,Faecalitalea
microbe,Feacalibacterium prausnitzii
microbe,Fecalibacterium
microbe,Filifactor
microbe,Filifactor alocis
microbe,Filobasidium uniguttulatum
microbe,Finegoldia
microbe,Firmicutes
microbe,Firmicutes Cluster 1
microbe,Firmicutes Cluster 2
microbe,Flavobacterium
microbe,Flavonifractor
microbe,Fusicatenibacter
microbe,Fusicatenibacter saccharivorans
microbe,Fusobacteria
microbe,Fusobacteriaceae
microbe,Fusobacteriia
microbe,Fusobacterium
microbe,Fusobacterium mortiferum
microbe,Fusobacterium nucleatum
microbe,Fusobacterium periodonticum
microbe,Fusobacterium species
microbe,Fusobacterium spp
microbe,Fusobacterium ulcerans
microbe,Fusobacterium varium
microbe,Gamma-proteobacteria
microbe,Gammaproteobacteria
microbe,Gardnerella
microbe,Gardnerella vaginalis
microbe,Gemella
microbe,Gemella haemolysans
microbe,Gemella morbillorum
microbe,Gemella sanguinis
microbe,Gemellaceae
microbe,Gemmiger
microbe,Gibberella moniliformis
microbe,Gluconacetobacter
microbe,Gordonibacter
microbe,Gram-negative bacteria
microbe,Granulicatella
microbe,Granulicatella adiacens
microbe,Gut Microbes
microbe,Gut Microbiota
microbe,Gut microbiota
microbe,Gymnopilus
microbe,H2-consuming populations
microbe,HPV16
microbe,Haemophilus
microbe,Haemophilus influenza
microbe,Haemophilus influenzae
microbe,Haemophilus parainfluenzae
microbe,Haliangium
microbe,Halomonadaceae
microbe,Helicobacter
microbe,Helicobacter bilis
microbe,Helicobacter cagA
microbe,Helicobacter hepaticus
microbe,Helicobacter pullorum
microbe,Helicobacter pylori
microbe,Helicobacter rodentium
microbe,Helicobacter spp
microbe,Helicobacteraceae
microbe,Heligmosomoides polygyrus
microbe,Helotiales
microbe,Herbaspirillum
microbe,Hespellia porcina
microbe,Holdemania
microbe,Human papillomavirus 16
microbe,Hydrogenoanaerobacterium
microbe,Hydrogenophaga
microbe,Iamia
microbe,Incertae sedis XIV
microbe,Intestinibacter
microbe,Isoptericola
microbe,JC polyomavirus
microbe,Johnsonella ignava
microbe,Kingella
microbe,Klebsiella
microbe,Klebsiella oxytoca
microbe,Klebsiella pneumoniae
microbe,Klebsiella spp
microbe,Lachnoclostridium
microbe,Lachnospira
microbe,Lachnospiracea
microbe,Lachnospiracea incertae sedis
microbe,Lachnospiraceae
microbe,Lachnospiraceae ND3007 group
microbe,Lachnospiraceae NK4A
microbe,Lachnospiraceae NK4A136
microbe,Lachnospiraceae bacterium
microbe,Lachnospiraceae family
microbe,Lachnospiraceae genus
microbe,Lachnospiraceae incertae sedis
microbe,Lachnospiraceae spp
microbe,Lachnospiraceae strain CG19-1
microbe,LachnospiraceaeUCG001
microbe,LachnospiraceaeUCG004
microbe,Lachnospiraceae_Incertae_Sedis
microbe,Lachnospiraceae_NK4A136_group
microbe,Lachnospiraceae_UCG-004
microbe,Lachnospiraceae_uc
microbe,Lactobacillaceae
microbe,Lactobacillales
microbe,Lactobacilli
microbe,Lactobacillus
microbe,Lactobacillus GG
microbe,Lactobacillus acidophilus
microbe,Lactobacillus acidophilus DDS-1
microbe,Lactobacillus acidophilus HA-122
microbe,Lactobacillus acidophilus LA-14
microbe,Lactobacillus acidophilus group
microbe,Lactobacillus casei
microbe,Lactobacillus casei BL23
microbe,Lactobacillus casei CCFM419
microbe,Lactobacillus casei LC-11
microbe,Lactobacillus casei Shirota
microbe,Lactobacillus casei strain Shirota
microbe,Lactobacillus casei variety rhamnosus
microbe,Lactobacillus coleohominis
microbe,Lactobacillus crispatus
microbe,Lactobacillus delbrueckii
microbe,Lactobacillus delbrueckii ssp. bulgaricus
