"disease","disease_full_gip_once_000","disease_full_gip_once_001","disease_full_gip_once_002","disease_full_gip_once_003","disease_full_gip_once_004","disease_full_gip_once_005","disease_full_gip_once_006","disease_full_gip_once_007","disease_full_gip_once_008","disease_full_gip_once_009","disease_full_gip_once_010","disease_full_gip_once_011","disease_full_gip_once_012","disease_full_gip_once_013","disease_full_gip_once_014","disease_full_gip_once_015","disease_full_gip_once_016","disease_full_gip_once_017","disease_full_gip_once_018","disease_full_gip_once_019","disease_full_gip_once_020","disease_full_gip_once_021","disease_full_gip_once_022","disease_full_gip_once_023","disease_full_gip_once_024","disease_full_gip_once_025","disease_full_gip_once_026","disease_full_gip_once_027","disease_full_gip_once_028","disease_full_gip_once_029","disease_full_gip_once_030","disease_full_gip_once_031","disease_full_gip_once_032","disease_full_gip_once_033","disease_full_gip_once_034","disease_full_gip_once_035","disease_full_gip_once_036","disease_full_gip_once_037","disease_full_gip_once_038","disease_full_gip_once_039","disease_full_gip_once_040","disease_full_gip_once_041","disease_full_gip_once_042","disease_full_gip_once_043","disease_full_gip_once_044","disease_full_gip_once_045","disease_full_gip_once_046","disease_full_gip_once_047","disease_full_gip_once_048","disease_full_gip_once_049","disease_full_gip_once_050","disease_full_gip_once_051","disease_full_gip_once_052","disease_full_gip_once_053","disease_full_gip_once_054","disease_full_gip_once_055","disease_full_gip_once_056","disease_full_gip_once_057","disease_full_gip_once_058","disease_full_gip_once_059","disease_full_gip_once_060","disease_full_gip_once_061","disease_full_gip_once_062","disease_full_gip_once_063"
"AA amyloidosis","0.8759708","0.61077833","-0.33212227","-0.5929497","-0.21517073","0.46142244","0.5989697","-1.198986","0.63973033","0.4810134","0.91042644","-0.6487565","-0.9259117","0.30022684","-2.1203883","1.004638","-1.1425229","-1.4671409","-1.3915623","0.09997286","-0.6183365","-0.69522566","-2.2642963","0.85900027","2.262299","0.102487415","-1.8821943","0.19744112","0.6510817","3.2403076","-0.7461027","-0.70697576","-1.1257871","0.24054047","-0.11174035","2.5626118","-2.4358091","0.58184475","1.0834435","1.053241","-1.0741783","1.0856087","1.0694163","-0.92857623","1.0633814","-0.5969178","-0.622909","-0.9921725","-0.01710675","-0.71682227","-0.76070166","-1.0596522","0.040153816","0.090542294","-0.07965129","0.13535239","0.2243069","1.1734434","-0.10835324","-0.6171225","0.44381818","0.5664323","-0.15639794","-0.46869737"
"ADHD","0.6862525","0.21354933","-0.0859516","-0.49756375","0.11238446","0.024221878","0.28068286","0.11112766","0.2307782","0.38522598","-0.032770675","-1.2984115","-1.04674","0.72997016","0.8395637","0.18204737","0.42685","0.90620154","0.1280443","-0.754925","-1.1675304","-0.5749212","1.9345064","0.13610263","-0.037688147","-1.4097486","2.0207202","-0.20638648","0.012347098","0.787057","-0.014865548","1.2613468","-2.5735226","-1.7627983","3.800505","-0.78414595","-2.104128","-1.3683869","-1.6612407","2.4597201","1.1088643","1.0395696","0.3331316","0.73045284","-0.6133148","0.9232086","1.2380879","-0.44945827","1.2621386","-0.9779543","-0.58975893","-0.31969672","0.62187016","1.5183632","-0.113851205","-0.90037644","-1.4680355","0.5029384","-1.0262054","-1.403177","-0.96565515","-0.21120028","-0.8103627","-1.6714368"
"Acne","-1.8507203","-0.18059628","0.14572233","-0.34949952","-0.032565635","-0.029730067","0.1418947","0.3198258","0.08979881","-0.20622076","0.14384197","0.12766407","0.118042365","-0.099268444","0.07674963","-0.2018378","0.12041996","0.61097723","0.29223958","0.089612","0.1538819","-0.041122388","-0.13605791","-0.21193153","0.112911634","-0.2862801","-0.0713974","-0.27016085","-0.03846908","-0.32882398","-0.35727182","-0.35422805","-0.39026996","-0.087699465","-0.3456884","0.40748376","0.007213856","-0.30724704","-0.07810083","-0.05747721","-0.040855575","0.01501657","0.115115345","-0.22168253","0.24705143","0.20393325","0.11667701","-0.9374761","1.1351707","0.6783873","-0.42733344","-0.069643505","0.75573677","-1.7628776","1.3842725","-2.5277312","0.86295027","0.28870618","-1.2187449","2.6307495","0.8792582","0.005385274","-2.992945","-0.44018885"
"Acquired Immunodeficiency Syndrome","-1.1707127","0.12170153","-0.38541555","2.6785767","1.0860337","-0.33372018","0.4142446","2.9991317","-0.9000803","-1.2623085","-0.43817618","-1.3215033","0.9936549","-0.95614713","-0.0149635775","0.4803021","0.42062148","-0.18382971","0.3591642","-0.92000276","1.083584","0.2521734","0.5238169","-0.9850838","1.2742767","-0.16599864","-0.609086","0.3964959","0.19677263","-1.5057781","-1.036874","-0.054510325","-2.7315526","-2.3275075","-1.2652558","1.2224965","1.267598","0.96870816","1.3915739","-0.117906146","-1.7371552","-1.3786671","-1.0402552","0.03985127","-0.55840623","1.5247016","-0.83865327","0.29706216","-0.028062796","-0.97344184","0.022991322","3.553597","-0.4048288","0.7544674","-0.8436545","-1.3260782","0.48054138","-0.16752364","-0.09185823","1.9198923","-2.010598","2.8092513","2.4018962","0.42500427"
"Acute Lymphoblastic Leukemia","0.04792123","-0.45551398","0.721249","4.030413","2.097286","3.6863384","-1.1402743","3.435903","-1.4135848","-2.541665","0.74650615","-2.6699162","-0.334816","0.6141828","-1.3245449","1.4546627","-0.28461677","1.2994822","-1.1448607","-1.4414543","0.5371402","0.6169565","0.23402184","-0.36726534","-0.10268468","-0.51406896","0.96062076","0.5151458","0.9875454","1.5474995","-0.5025371","0.3883999","1.4271153","-0.034066953","-0.38273346","-0.03695059","1.6559932","-0.4408385","1.4030826","0.5317031","0.038154975","-0.17069893","1.0707375","-0.6738086","0.24552125","-0.09922724","-0.40025806","-0.29800072","0.077987306","-1.3128247","0.38431162","-1.2425494","-1.1519723","-0.58642006","0.9276333","1.30566","-0.47083154","0.56095254","0.19061328","0.10224608","0.049757443","-0.4495769","0.730873","-1.1769134"
"Acute cerbral infarction","0.68021804","0.20066853","-0.4123738","-0.13066144","0.084782965","0.23026279","0.009053983","-0.22508067","0.083594166","0.16970275","0.030979225","-0.036594834","0.0127491","-0.1885568","-0.0317719","-0.21160862","0.12235867","0.1978303","-0.112833165","-0.24524647","0.0066111917","-0.18672709","-0.42062396","-0.12772036","-0.20628855","0.14903165","0.3871358","-0.045166854","-0.087697886","-0.30343333","-0.37311146","-0.13749754","-0.28115183","0.055507675","-0.15763451","0.8331836","-0.22213908","0.90974665","0.5569492","-1.0375441","1.4666845","-0.06300813","2.126818","0.48920736","-0.5310807","0.8548592","0.48575053","-0.8410751","-1.6074251","-0.45718336","-0.88250583","-0.97128755","-1.6282648","-0.47739816","0.7419732","-0.7966212","-2.2091525","0.26052788","0.86445516","-0.5870516","-0.660753","-0.39231008","0.45251814","0.7031598"
"Acute cholecystitis","0.19126403","-0.5067378","0.22133084","0.16177952","-1.0391885","-0.5125271","-0.44154242","1.4532838","0.90039563","-0.012731769","3.6406176","2.4487934","-0.027281955","0.3803466","-0.06635343","1.371009","0.049511883","-1.6689991","0.94738436","1.3384387","-1.5635695","0.9914806","-0.9265466","-2.1860974","-0.5455023","1.0705673","1.2067927","-3.0013356","0.7626402","0.30321637","-0.11668357","-1.1036396","0.32613608","-0.33416906","0.11354534","-1.045403","-0.03607333","-0.080016375","0.30599046","0.07567744","-0.607439","-0.38890946","0.04785841","-0.06938416","-0.14387976","0.27917048","0.35403675","-0.5309848","-1.0426491","-0.6808722","0.015022228","-0.032505073","-0.5587267","0.13064773","0.03793659","-0.06088842","-0.4389489","-1.0289996","-0.669707","0.33789226","-0.022800801","0.3979037","0.5979178","0.02839177"
"Acute fatty liver","-0.5624819","-0.2186674","-0.16669759","0.92569005","0.6161999","0.087131344","0.20875596","1.7645334","-0.48591617","-0.34848946","-1.7379622","0.23843622","3.0070462","-1.5409155","10.338062","-4.3471184","2.5039322","-3.2439923","3.216172","1.6409111","-1.5348598","0.14836018","-2.5814295","2.4598444","0.4016914","1.4091495","1.4124151","3.720259","2.4296117","4.4424043","-0.37248182","-2.0992103","0.6924311","-2.3410857","-1.2779496","-1.0245074","-0.6523464","-2.4687588","0.8981776","0.17595807","0.31015322","-0.4532618","0.13412565","1.5061893","1.9523482","-1.9197934","-2.2655394","0.11717921","-1.5792943","-0.56713164","-1.2840657","-0.65740854","-0.62737423","-1.0476427","-0.3779","0.04807211","-0.33976144","1.1790828","-0.48587167","0.10604096","-0.2724607","-0.21775271","0.1298319","-0.6096856"
"Acute lymphoblastic leukemia","-0.75018865","-0.70601434","0.83710337","0.36769235","-0.11224752","0.53687865","1.4050162","-0.72072834","-0.961657","-0.6784842","-0.55962336","0.8383748","0.46849307","-0.43752703","1.2242881","0.7519424","-2.5462105","0.052740153","-1.5410159","1.8512414","0.20320894","-0.7766201","-0.71626747","-2.409761","0.043834265","1.8798648","-0.03745746","2.7883317","-0.5102967","-0.30216718","-1.1066507","0.52531844","1.9191415","-3.8846717","2.4745858","1.3865881","-2.8746886","0.45191222","-0.6509197","-1.2864277","0.47486877","-0.5087014","-2.8115382","-2.6028268","2.2914793","1.2032875","5.142895","-0.9637912","-1.3884872","1.4614623","0.27634194","0.992708","0.65096676","-3.2587981","0.11641868","-1.3144445","-0.8902323","-1.2798178","-1.9304112","2.2696073","-0.31791234","-2.4430463","-1.5602502","-0.1984028"
"Acute skin abscess","1.0892373","0.19316049","-0.3654314","-0.25015768","0.038183074","0.26597157","0.2514359","-0.14451489","0.12802902","-0.0020088202","-0.14793916","0.18061796","-0.14263868","-0.30926704","-0.10597462","-0.065661386","-0.21957158","0.14947346","0.10360573","-0.033205826","0.19423918","0.013979965","0.13709888","0.058161527","-0.1868248","0.3270949","0.28513536","-0.110760875","-0.33264223","-0.5500637","0.46451044","-0.27305722","-0.28244594","0.14585508","0.028993662","-0.42470196","-0.05450369","-1.1915698","2.6364126","-2.0957377","1.4798408","3.143082","-2.4370484","0.6744549","0.44243672","1.364822","-0.76496357","-0.30549043","0.6472648","-0.42521086","0.3043747","-0.8166561","-0.12625651","0.42335045","0.27955064","0.09137709","0.19076999","0.2568209","-0.23333961","-0.4785653","-0.2824513","0.33849698","-0.055329632","0.37088704"
"Adolescent idiopathic scoliosis","-0.4686299","0.1712623","-0.24286117","-0.075069726","-0.028267397","0.2538733","0.021705119","-0.10340074","0.019185245","0.15055001","-0.42673036","-0.18738145","-0.24024503","0.14444157","-0.09829076","-0.84675807","-0.12051908","0.6046205","-0.30238447","-0.51504153","0.77284944","-0.565359","-1.1530724","0.44896436","0.82075095","0.64619285","-0.63885826","-0.734081","1.2711014","-0.674","0.48234266","0.42085272","0.7765346","0.6398599","-0.49789828","-3.7983513","-2.748869","0.75873286","-1.4289652","-4.069025","-5.307444","-0.43088892","1.7597542","2.9195886","1.5734525","0.40764195","-0.7313293","0.37691322","4.6167855","-3.522743","0.17195813","-0.7467839","0.035777267","0.5254432","-0.3533333","-2.0048795","0.36869213","-0.907157","0.15953833","-0.94035316","2.2036648","-0.94413507","-0.8493212","-0.31283972"
"Aerobic vaginitis","-1.948018","0.0062497794","-0.01107764","-0.05273455","0.014443019","-0.03336873","0.035109058","-0.018945351","0.07546707","0.095117815","-0.0079853255","-0.041497517","-0.0028377194","0.035135742","0.0035316155","-0.051867686","0.0135737285","-0.017133188","-0.028953262","-0.013155949","-0.027028995","-0.032889433","-0.15747893","-0.043615498","0.013692916","-0.1371862","0.03751415","-0.15595005","0.013886753","-0.07870361","0.058667075","-0.14115362","-0.06688632","0.15745376","-0.057926066","-0.14140017","-0.0010914148","-0.033744235","-0.06613977","-0.102525845","0.20002781","-0.028799182","-0.110631846","-0.59674835","-0.08957012","-0.24732785","0.1697767","0.2620057","-0.17013751","-0.2761359","0.33466443","0.971268","-0.93214035","-0.7467262","0.5821062","0.31394953","1.4777358","0.10596808","-1.8519441","-0.28879866","-1.6049396","-1.1893681","-1.7646569","1.4716423"
"Aggressive periodontitis","-1.9721074","0.026035972","-0.05273319","-0.04430303","-0.02827843","0.048841044","0.032040726","-0.06938523","-0.0010858055","0.023630392","-0.008320955","0.008982195","0.016221557","-0.015848497","-0.027929487","-0.015727885","0.0008096108","0.042022765","-0.047619276","-0.010457729","0.0490125","-0.004198373","-0.05381499","-0.011545444","0.003397535","-0.007837883","-0.012007719","0.016884895","-0.005596665","0.013740959","0.018233635","0.0046117725","0.0026995556","-0.04000965","-0.0062345243","0.03463533","0.03617323","-0.009111625","-0.024842406","-0.10417268","0.22632085","0.02844136","0.08685955","0.10869117","-0.08697606","0.09709089","0.16874072","0.032212317","-0.2605033","-0.022670364","0.2646609","0.24558532","-0.29222363","0.5814105","-0.05609731","-0.2120414","-0.12210284","-0.3227441","-0.37063774","-3.0129852","2.121469","1.3372022","0.4074088","2.0831738"
"Alcoholic Liver Disease","0.5086683","-0.9895025","1.7155567","-2.3206527","-0.1544211","1.2673174","-1.2225621","0.7785655","0.8181836","1.105348","-0.12614042","-1.3839285","-0.03270653","-0.1917232","0.36856437","-0.45412973","-0.3337762","-0.30243993","-0.76567966","0.28724122","-0.04819734","-0.27097368","-0.7798392","-0.001949084","-0.37926352","-0.028483083","0.6026807","-0.6277971","-0.46645644","-0.29355395","-0.28702062","0.6837315","0.5307838","0.46392617","-0.2906762","0.043217465","1.8744029","0.12623665","0.98159796","0.8461834","2.0288923","-0.017310452","0.4375003","-0.3402151","-1.3021399","-1.2907919","0.64036036","-3.1094527","1.2806369","0.5043383","-0.8726018","1.453789","-0.9104735","-0.4970682","0.074965246","-0.68318313","0.78749675","1.0414206","-0.7996521","2.6341214","-1.7922969","0.8963524","-0.7904158","0.030893568"
"Alcoholic cirrhosis","-0.92093486","0.2039194","0.054369938","0.5649608","-0.6701182","1.2234566","1.0351233","1.1412448","0.00024383713","-0.07451246","-0.26993152","-0.55358285","-0.54301304","0.8065568","-0.8625599","0.5542724","0.48406407","-0.5904529","-0.45297813","0.8904837","-0.59536713","-1.971721","-1.4127194","0.99831563","0.48862395","-3.088621","0.15860283","0.3381567","-0.026072482","-1.1821345","-1.1466452","-2.2185373","0.37363416","-3.330479","-2.5560975","0.45221168","1.2753232","-1.6283607","-0.8213912","-1.7580104","-0.5679212","-2.329215","-1.0454736","2.19437","-1.1014456","0.71095383","1.1114068","-2.6326337","-0.19838025","1.3967202","-0.14472744","-0.73265","2.4936113","3.4500313","-0.23260841","0.63073003","0.43074906","-2.0197244","0.31281915","-1.128054","-1.4074558","-0.2960208","-0.783042","0.5069615"
"Alcoholic hepatitis","-1.8111056","0.39374146","-0.08038549","0.42176515","0.03580259","-0.17806879","-0.02609394","0.44076124","0.4262182","-0.0606649","0.22716868","0.07531995","-0.0009293723","0.008105578","-0.17117181","0.039754085","0.10098763","0.07063701","-0.15080494","-0.18715777","-0.2622817","0.20047368","-0.06449328","0.15173107","-0.048261296","0.12970856","0.021771206","0.39914864","-0.507741","-0.9523045","0.15285112","-0.51823974","-1.3315967","0.02603922","0.38252857","0.9040407","1.1011472","-0.9092919","0.5488312","0.053855374","-0.67621136","-0.6137758","0.53329235","0.28400382","0.5779034","-0.43682414","-0.04903976","-0.78910154","-2.2075067","0.061586704","1.3184956","0.5531517","0.80675036","0.3849326","0.632932","0.026881373","-0.5137659","-2.112581","-1.7810161","-1.5490057","-0.72643435","-3.4527636","-1.6487137","-2.9565873"
"Alcoholism","-1.9581416","0.024573885","-0.0064355093","0.035431184","-0.038015675","-0.068055294","0.044890158","0.05245882","0.0029197426","-0.00020286415","-0.036645483","0.038982257","-0.002189834","0.06708528","-0.0063340752","-0.038851082","0.112451494","0.10761197","-0.012249868","-0.06881082","0.008499734","0.004967874","-0.047655273","-0.10314754","-0.007211184","0.03713163","0.023089405","-0.0019270435","-0.07324803","0.12044528","0.10022712","0.1392831","-0.04596404","-0.052495267","0.16879675","-0.0360409","-0.09812485","-0.06549101","0.14640011","0.13822876","-0.15328819","0.072489396","-0.37938255","0.30430904","0.01983882","0.26746038","0.38124704","-0.5069707","-0.12057841","-0.2820534","-0.6752513","-0.5049821","0.02684381","-0.8932352","0.048558094","-1.5891426","-0.527786","-1.592335","0.53018343","-1.1895634","1.634382","-2.1524758","0.51471144","-0.21239197"
"Allergic asthma","0.31538942","1.7298757","-1.8133025","-0.6209478","-0.24563101","0.6647754","-1.5841956","0.3549262","1.9622446","2.2317011","0.61342573","0.018232575","-0.5882629","-0.97379535","-0.472879","-0.21649677","-1.1440368","1.9529443","2.903405","4.4378047","-1.6500454","-0.06880654","0.9356075","2.93079","1.4946002","0.60128176","0.48182142","0.80163056","-1.2722163","-0.5297045","1.8354108","1.8893826","0.10450164","0.5388808","-1.9607177","-0.67336994","-0.77249545","-1.5856806","1.3714403","0.9987205","-1.469895","-1.4221863","0.7228647","-0.34864414","-0.75358355","0.43607467","1.9219382","-0.004690003","0.3981934","0.08386772","-0.71716166","0.29753804","-0.030171603","0.468327","0.76556844","-0.20983838","-0.10762259","-0.32476285","0.36166945","-0.21629807","-0.08323043","-0.11989544","0.53248614","0.6087447"
"Allergic rhinoconjunctivitis","0.87465256","0.15065755","-0.35358104","-0.26143572","0.08997537","0.07640334","0.015288624","-0.2696346","0.041510798","0.15935367","0.029732011","0.023515977","-0.11497525","-0.19323073","-0.10251656","-0.19970906","-0.19102223","0.1332679","-0.17309487","-0.100513615","0.22262146","-0.048824273","-0.16402265","-0.043149907","-0.1380264","0.22905245","0.34186456","0.011375015","-0.12585333","0.13293768","0.0962849","0.27043825","-0.17729105","-0.1902948","0.17400819","0.07685128","0.21279655","-0.042199355","0.03072629","-0.24253248","-0.088927805","-0.037184898","0.047979165","0.36967263","-0.18874863","-0.4345403","0.09547487","-0.0853827","-0.28139687","0.124899015","-0.09106018","0.17439955","-0.21689942","0.023480192","-0.1401472","-0.37994754","-0.40736327","-0.16745345","-0.008324689","0.20354939","-0.18270716","0.44032708","0.061813693","-0.27516234"
"Allergic sensitization","1.0981762","0.07663172","-0.4715551","-0.06328235","-0.25343218","0.22572972","-0.25493836","-0.5749682","0.123835206","0.6082155","0.09117518","-0.3508923","-0.64045435","-0.5021472","-0.2126186","-0.26469785","0.6476667","-0.36314672","0.66853505","0.79301584","0.12662247","2.7382364","-0.9253599","-2.466945","-2.1353128","-3.3140743","-2.276035","2.7528076","0.4999476","-0.16353397","0.20775463","0.8031703","-0.30928144","0.24310929","0.51194376","-0.5774687","-0.31096017","-0.10204178","0.5803391","-0.15427986","-0.6450794","-0.103681006","0.3696477","-0.18290666","-0.30559868","0.07372156","-0.2146154","0.018073827","0.14137577","-0.3310463","-0.12585051","-0.0062738843","0.19858985","-0.011630015","-0.032328963","-0.18408678","0.1268365","0.26222667","-0.042641718","0.13817292","-0.19992623","-0.1403024","-0.17216739","0.08327066"
"Allergy","-0.7531072","-0.55838287","1.6285688","0.049666293","-0.0396782","3.4160478","-0.54628205","-0.072324574","0.97676414","3.0260885","-1.4180849","1.8662058","-1.6349406","0.48582873","-2.9720838","1.160031","-0.65442526","1.0502294","-0.10719882","1.1300007","-0.9018035","0.7129938","1.1972153","2.362458","0.007448254","0.9982574","0.16753624","1.2702631","1.5064912","2.0920258","-2.5376174","-0.49451864","0.5585221","-0.98934597","-0.9697293","0.8311779","2.168537","-3.1195815","0.71606666","0.0024362644","1.508058","-1.0085489","1.4286977","-2.5366867","-0.31006062","-2.1005998","-2.0095055","-1.3346732","0.12825382","-3.8524055","-1.588083","-1.022363","1.4882092","-2.032172","-0.8932537","-0.1388608","-0.74957126","0.21550082","0.76612073","-0.20458248","0.18721052","-0.13020177","-0.1433929","-0.20050932"
"Alopecia areata","-0.111887656","-0.14781384","-0.12560536","0.94976795","-0.7487239","-0.20378","-0.42631614","-0.90583575","-3.274276","3.5285099","1.4953898","-1.5839145","-0.5382012","0.41817304","0.037144966","-2.0516899","2.3671014","-0.29205787","-2.377166","3.0069265","1.5224564","-0.858543","1.4201332","-1.8638959","1.0835392","3.2600453","-0.27678218","-0.5246451","-0.10375936","0.69443","-0.18116333","1.915371","0.39334825","-0.84160894","2.8903189","-0.31570625","1.3098396","0.42780742","1.529686","-1.3553749","-0.71185774","0.9875194","-0.104766116","0.01660456","-0.016865516","-1.1271751","0.78560776","1.4464085","-1.2612832","0.73531616","-0.49050868","1.1009308","-0.86855567","-1.222293","0.75370526","1.0461679","-0.043702222","0.2180432","-1.8912362","-1.575885","0.12702464","0.56790686","0.08443406","0.87981856"
"Alopecia universalis","-0.6691807","0.22597145","-0.34841028","-0.28715324","-0.33357385","-0.0613917","0.7378157","-0.56205976","0.6726724","-0.59552294","1.4177765","-1.4168643","0.13932845","-0.18427525","0.4141683","-0.22933994","0.054057162","-0.22421771","-0.7147226","-0.28546143","-0.14240597","0.13537833","0.3494802","-0.22608133","0.47860706","-0.00031757477","1.7349108","1.1844473","-0.8560034","-0.29322162","-1.2808961","0.5458893","-0.37335","1.0663612","-1.0260878","-0.6134748","0.10131734","0.16418706","-0.3737461","-1.0818987","-0.0968701","0.4362505","0.20901369","-1.0348366","0.12563509","0.08697419","-0.51387745","0.6659699","0.362128","0.3808796","-0.25879773","-0.27130148","-0.44703025","-0.8698404","-0.32709405","0.825594","-0.5147367","0.16643466","0.6019866","-0.2725121","-0.8703796","-1.0812714","1.2736582","0.21906184"
"Alzheimer disease","-0.34131446","-1.3303907","2.3948426","-3.0636523","-1.3610493","-0.84661627","1.610672","0.72895944","-1.798052","0.122810476","-0.6971801","-0.61909884","0.53532165","-0.76633906","0.6471764","1.2520511","-2.3843553","1.3093044","1.9429665","-2.173438","-0.92633075","-0.5231646","-1.1766273","-0.48097074","-0.83809817","0.37516242","-0.6878234","1.1328851","0.41363057","-1.6764635","-0.7895816","-0.7601072","0.21713836","1.6388987","-0.92678815","-0.04976942","0.17051868","0.9295893","-1.2619748","-0.14134648","-1.3370187","0.37552172","-0.32928726","1.5365913","0.7875673","1.9208511","0.9227816","1.4318343","0.28279862","-0.42759147","-1.9495491","-2.4132762","-1.2137551","-1.8033999","0.20527166","-0.89898235","-0.35583067","-0.047170512","-0.54654175","1.1256946","-1.0889772","-0.2520198","1.1147718","-0.5311585"
"Alzheimer's Disease","-1.7982794","0.24278574","0.024030961","0.55045795","0.3997542","-0.020484395","-0.09522721","0.0014825038","0.17587422","-0.23290591","-0.08580017","0.026432635","0.19862553","-0.29357523","-0.18569466","0.0037350722","0.0039136996","0.23535909","0.12548085","-0.07658314","0.08025002","-0.41214076","-0.30387124","0.04987723","-1.182485","0.43106392","-0.50636023","-0.36240226","-0.26179186","-1.3246862","-0.23062359","-0.45513386","0.17005646","-1.2086273","0.12650983","0.7635039","0.021044722","-1.5187871","-0.3031683","-0.60981846","-1.4124304","-0.67427844","0.21968381","0.60553783","0.0717663","-0.4222483","-0.54618615","0.27376077","-0.897247","-1.4602811","-2.9694958","1.7381462","0.4607823","1.8855258","-2.2197194","0.26917776","-0.3540706","0.19574323","-2.4985788","-1.9269805","-3.8591158","0.9367672","0.33416963","1.8009073"
"Alzheimer's disease","-0.20735285","-3.139802","1.3052464","2.1651683","-3.4298232","-1.4626598","-0.34870362","-1.1881648","0.6218171","-1.0106257","1.6835679","1.1798353","0.14608432","0.24095738","0.22752482","0.13929614","-0.37003484","0.47809982","0.8815086","-1.2542794","0.9291238","-1.0827483","-0.71156114","0.6656573","-0.39132562","1.0060081","-0.59273314","0.30292457","-0.43092433","-0.029543918","-0.14859559","0.05723604","-0.7538266","0.07510349","-0.5851453","0.30547187","-0.19615741","-0.21127097","0.00961081","-0.21352798","-0.32085976","0.40125346","-0.15756772","0.1928383","-0.49588045","0.20340182","0.59418595","0.42901278","0.059765358","-0.63038015","0.11587492","-1.1729717","0.70185757","-0.7564774","-0.67720693","0.2134134","-0.4361243","0.21304648","-0.011541522","0.013028398","-0.6840285","-1.9803625","-0.6054917","-0.717229"
"Alzheimers disease","0.1787215","0.8687034","-0.569334","-2.4788392","-2.4048896","-2.201836","2.605269","0.2731328","-0.5516974","0.025073197","1.4603398","-0.96905977","0.48732302","-0.637553","0.8232142","2.5958927","-2.122911","-2.823769","0.99337095","-1.295752","-3.9176118","1.588378","-0.20134789","-0.80567884","-0.3931214","0.30456707","3.553678","0.1708777","1.781545","-1.4553233","0.069210075","-0.09493372","0.41225037","2.0692878","-0.95584416","-1.2233231","0.06818324","1.5182846","-0.34218127","-0.7462843","-0.31741172","-0.000440459","-0.09042494","-0.1652465","0.17421797","-0.03927196","0.5116302","0.4192774","0.090587795","-0.37264356","-0.6000374","0.50841963","-0.5005489","0.97269577","-0.033195008","-0.016945034","0.33439904","-0.30346358","0.20362584","0.62708473","-0.574736","-0.072899826","0.4264181","-0.031193161"
"Amyotrophic lateral sclerosis","-1.3333606","0.083884515","-0.13008618","0.8417337","0.2645598","1.5643133","-0.09031953","0.7683549","0.14856946","0.41017467","0.17684887","-0.7272587","-0.40619543","-0.17772081","-0.47842273","0.29919133","-0.2675338","1.3480587","2.2211967","-0.68230027","1.8233387","-1.9097626","-0.88046396","-1.9462836","-0.63258463","0.6656911","-1.0593538","-1.2900836","0.7994158","3.5143986","1.1899537","-2.025388","1.6801232","0.90221703","0.98038304","1.6674563","-2.9438908","0.13059165","-1.1643896","-0.2639345","-0.5800824","0.9457654","0.34099752","1.1846912","-0.9582343","-1.8545188","0.5090201","0.1430169","1.0392311","3.2726533","2.5416417","-2.729963","1.7260152","1.8232536","0.6652493","-2.0951097","0.8713553","3.265838","1.5332861","1.1441178","-0.8327045","0.19394605","1.1338631","0.041928615"
"Ankylosing Spondylitis","0.33070806","0.19845064","-0.3815728","-0.11681779","0.016829802","0.26748314","0.03080152","-0.27467662","0.07455241","0.2965134","0.052251503","-0.0769704","0.050752215","-0.3398363","-0.074346945","-0.3281429","0.40657434","0.27104223","-0.20082043","-0.017381659","-0.075398356","-0.07820522","-0.34223846","-0.17350276","-0.32182357","-0.09435607","0.32007107","-0.09611761","-0.22390659","-0.28361413","-0.35467014","-0.18137603","-0.23960067","-0.036802266","-0.54454017","0.9593548","0.14880621","0.959334","0.18040945","-0.7100007","0.6863776","0.6049871","1.5866082","0.57162243","-0.73572266","0.75191253","0.45210922","-1.6603833","-2.1278126","-0.24851604","-0.7505723","-1.5556792","-2.2729967","-1.0912106","0.98727787","-1.0914253","-2.81466","-0.12874137","1.6022484","-1.752299","-1.2677901","0.12802598","1.1591575","0.1973812"
"Ankylosing spondylitis","-1.8530904","0.18783443","-0.17963997","-0.108608276","0.1279836","-0.22003442","-0.07486778","-0.09149734","0.2672411","0.10283795","0.42713007","-0.5435322","0.056811698","-0.2330449","-0.43638372","-0.02036241","-0.05327439","0.21606229","-0.05649647","0.2662697","-0.27956498","0.015647206","-0.58424044","0.42222375","-0.54134065","0.49444133","0.23059335","0.13957773","-0.023193117","0.17261344","-0.95899826","-0.18411407","-0.6979034","0.1557901","0.36816096","-0.5831972","0.48542237","-0.63960457","0.19506493","0.79243356","0.69369143","-0.10904195","-0.019545784","0.119050026","-0.31407613","-0.60434645","0.83550036","-1.1827672","0.78524035","-1.6965159","-0.5646027","0.8255497","1.3811283","1.0396708","-1.2071286","-0.9648949","-0.259128","0.5036871","-1.9314908","0.30231994","3.518957","0.7892214","-1.2718611","-1.9966396"
