"disease","disease_full_gip_once_000","disease_full_gip_once_001","disease_full_gip_once_002","disease_full_gip_once_003","disease_full_gip_once_004","disease_full_gip_once_005","disease_full_gip_once_006","disease_full_gip_once_007","disease_full_gip_once_008","disease_full_gip_once_009","disease_full_gip_once_010","disease_full_gip_once_011","disease_full_gip_once_012","disease_full_gip_once_013","disease_full_gip_once_014","disease_full_gip_once_015","disease_full_gip_once_016","disease_full_gip_once_017","disease_full_gip_once_018","disease_full_gip_once_019","disease_full_gip_once_020","disease_full_gip_once_021","disease_full_gip_once_022","disease_full_gip_once_023","disease_full_gip_once_024","disease_full_gip_once_025","disease_full_gip_once_026","disease_full_gip_once_027","disease_full_gip_once_028","disease_full_gip_once_029","disease_full_gip_once_030","disease_full_gip_once_031","disease_full_gip_once_032","disease_full_gip_once_033","disease_full_gip_once_034","disease_full_gip_once_035","disease_full_gip_once_036","disease_full_gip_once_037","disease_full_gip_once_038","disease_full_gip_once_039","disease_full_gip_once_040","disease_full_gip_once_041","disease_full_gip_once_042","disease_full_gip_once_043","disease_full_gip_once_044","disease_full_gip_once_045","disease_full_gip_once_046","disease_full_gip_once_047","disease_full_gip_once_048","disease_full_gip_once_049","disease_full_gip_once_050","disease_full_gip_once_051","disease_full_gip_once_052","disease_full_gip_once_053","disease_full_gip_once_054","disease_full_gip_once_055","disease_full_gip_once_056","disease_full_gip_once_057","disease_full_gip_once_058","disease_full_gip_once_059","disease_full_gip_once_060","disease_full_gip_once_061","disease_full_gip_once_062","disease_full_gip_once_063"
"Oligoasthenoteratozoospermia","0.51760846","-1.1272477","2.0451288","-2.3035252","-0.08637326","0.73677766","-1.174525","1.3319973","1.1620752","1.3675877","0.033883356","-2.241234","-0.4833333","0.47860676","1.2979767","-0.18319169","-0.15393738","1.4113275","-0.73581713","-0.70737755","-2.3310544","-0.68560684","1.6533502","1.457359","-2.682798","-1.6502424","0.28975523","-3.0644097","0.9178856","0.6235466","-1.7092752","3.6848226","-2.252608","-2.543499","1.654807","1.2882096","-2.6577294","-2.1827605","-1.7918603","-0.69395727","-0.069257945","0.22204457","0.1808888","-1.0977048","1.7255743","0.33444628","-1.3398966","0.5583097","0.43341982","0.8005256","-0.18124337","-0.06258386","-0.628087","0.2813374","0.31278294","-0.12040815","0.67083126","0.086182445","-0.21944517","0.43992892","0.12009973","0.48474884","0.3258277","0.3185807"
"Opisthorchis felineus infection","-1.2890652","0.0822431","-0.21349414","-0.09333861","-0.016306678","0.032208946","0.11675566","-0.21496075","0.120310806","0.29561096","-0.14088966","0.013104057","-0.073266484","0.050689045","0.13333994","-0.30449003","0.1696056","-0.09709433","-0.7444054","-1.0199074","0.34793666","-0.30030754","-0.16193217","-0.57713765","-0.49016252","-0.24262151","0.6693819","-0.21995147","0.6308157","0.16652976","-1.2094803","-0.6896923","0.067199215","0.47035328","0.34070843","0.29774147","0.16392025","-1.3259834","0.90850604","0.16054447","0.16281715","-0.403192","-1.3384469","-0.27068177","0.52523816","-0.5161838","1.9898695","0.38543326","0.17875071","1.0481143","-0.15376009","-0.5897077","0.47666085","-2.7025704","-1.7465414","-1.570489","-0.67908764","-1.8793514","2.0453863","-0.86187303","-0.3256973","0.8957764","-0.5191962","1.011352"
"Oral cancer","-1.928573","0.024410238","-0.09497522","-0.03853813","0.021832282","-0.12748018","0.019070195","-0.10430501","0.039911952","-0.007911456","0.10770019","0.109545484","-0.058728937","0.11216941","0.050589185","0.02398772","-0.030548448","0.029683387","0.017192071","-0.038130958","-0.0045437235","-0.0059997463","0.107353754","0.034960557","0.08538764","-0.13895948","-0.08600552","-0.062297195","0.008107885","0.049143955","-0.047757603","0.091296576","-0.0076687057","-0.16907002","0.07062291","0.15876898","0.03897942","-0.363518","0.32650295","-0.18632784","0.30291954","0.31587914","-0.061838567","0.39745802","-0.04498132","-0.37346244","0.18360509","0.08352977","0.40519774","-1.061886","-0.21168421","-0.944524","-0.58318245","0.864914","0.23562305","1.8234279","-0.3111409","-0.47329313","-0.32575157","1.6554799","0.34005442","0.53595626","0.48352063","-3.2504766"
"Oral leukoplakia","-0.46831754","0.085521914","-0.22988255","-0.21311149","-0.02343981","0.0002657228","-0.025341367","-0.13725214","0.17160007","0.017103797","-0.009635408","-0.079463966","-0.10234531","-0.17507058","0.2757543","0.35152993","0.27874282","0.2558382","-0.18156616","-0.1082601","-0.63904023","-0.2093147","1.1815939","-0.07625781","-0.27879813","-0.6457389","0.04958302","-0.23108427","-0.16449222","0.8464488","0.09368519","0.18947819","-0.39933303","-0.026904194","-0.13807835","0.1783016","2.0445824","-0.8692575","0.15164393","1.4005476","-1.4399571","1.3377615","-1.3797532","0.5715226","-0.8480546","0.14670895","0.76527166","1.4548008","-3.4246802","0.98554134","2.130583","0.60827374","2.130562","-1.6016359","-0.6066583","2.5298147","2.2666507","1.597074","1.6911323","-0.602838","0.21315","0.7299212","1.0759019","-0.2980335"
"Oral lichen planus","-1.6848406","-0.012559521","-0.35518616","-0.37311584","0.4893526","0.49857622","-0.27440846","-0.7454735","0.038762126","-0.7534947","0.27300987","0.6000959","0.020250529","-0.07299385","0.29028314","0.06167166","0.02242526","-0.37468126","0.16111365","0.23606606","0.24404815","-0.31545237","0.5186638","-0.4923389","0.4775306","-0.12711203","-0.9425741","-0.4290855","0.6900209","-0.43884826","-0.7908531","0.92116886","2.246111","0.46417168","-1.4405646","0.52983916","0.8352798","-0.036407236","-0.22395034","0.6379851","-0.16119753","0.42154533","-0.8461871","-0.13846031","1.0335983","0.095417015","-0.012575863","-0.06573252","-0.3832987","0.4349743","0.96761286","-0.23268223","1.51239","-0.7363957","-0.7110893","0.6102187","1.789817","-0.83875823","-1.044629","0.77178836","0.62923276","-0.93442184","-1.6408674","-1.5338272"
"Oral potentially malignant disorder","-1.7867682","0.044357557","-0.08797651","-0.059061285","-0.03893018","0.046062447","0.040953863","-0.09465104","0.0362758","0.018322479","-0.0066820947","0.00045524404","0.025396138","-0.056107722","-0.09163732","-0.020597272","-0.025376126","0.06869242","-0.07729546","0.012758551","0.005131555","-0.032722145","0.082845055","-0.07269878","0.032164194","-0.13332105","-0.00621544","-0.05883292","-0.026018111","-0.059732027","0.024758557","0.11727591","0.08524036","-0.06481049","-0.17599884","-0.18030097","0.23674564","-0.06617544","-0.36774233","0.4003804","-0.40249932","-0.08751738","-0.11545914","-0.32115096","-0.4756839","-0.6922747","0.4161458","-0.25412035","-0.75136775","0.090547845","0.3822363","0.12559617","-0.16170149","-1.4467318","-1.4902294","0.46657342","1.0045435","-1.760377","1.1088631","0.8485967","-0.3817694","-0.5538204","0.23827513","-0.71640736"
"Oral squamous cell carcinoma","-0.4700017","0.09882158","-0.291629","-0.20798396","-0.1416515","0.5612241","0.062276915","-0.3717469","-0.1490592","-0.013138386","-0.015809955","0.47841915","0.38863814","-0.9460121","-0.109433234","0.08915345","0.4809764","0.07201642","0.26087055","0.094077684","0.72768086","-0.3939706","-0.10448497","-0.72577024","1.7248064","0.07666943","-0.43229216","-0.31599414","2.1692457","-2.5471275","-0.8171075","1.721097","2.1543093","-2.7996387","-1.7262446","-1.1520779","-2.5804625","0.39231646","-1.1331948","3.0255625","1.3467807","4.3096356","1.0698802","-2.7658355","-0.14244765","0.73120296","0.39435297","1.7241638","-0.58050185","-1.3352393","-0.29590294","-0.84126824","0.68514955","0.72389287","-0.952825","2.1275764","1.7284312","0.092552066","-1.858421","1.3263463","-1.0424008","-0.81803906","-0.76037127","-1.0975766"
"Orofacial granulomatosis","0.87586856","0.1590492","-0.3702979","-0.20342188","0.0135083655","0.18566635","0.055848055","-0.18295774","0.019718476","0.13657372","-0.0075033","0.050096404","-0.04523951","-0.2944343","-0.13223775","-0.15456705","0.13801304","0.07506041","-0.11376809","-0.19963363","0.076101966","-0.21237041","-0.14113294","0.15488172","0.044871535","0.052242856","0.18935978","-0.024487227","-0.18862188","-0.012603663","0.14961265","0.06091482","0.007890677","-0.08814763","0.027050644","-0.052560035","0.17313652","0.15339044","-0.11147155","0.04301335","-0.20309518","-0.017087594","-0.14527623","-0.082669675","-0.18422435","0.10235533","0.083534166","-0.29722077","-0.31437185","0.20057754","-0.011636505","0.043388404","-0.48765007","-0.16486971","-0.15290746","-0.4668919","0.11187134","0.00999312","0.24708435","-0.59840727","-0.18153436","-0.1154551","-0.31329376","0.12350617"
"Oropharyngeal cancer","-1.2881287","0.079060495","-0.17504542","-0.0907171","0.014104928","0.01727288","-0.0141408015","-0.043234464","0.018905325","0.08618367","0.054953456","0.06478315","-0.06889175","0.06457209","-0.04316636","-0.1844348","-0.29246372","0.004753442","-0.082981706","-0.1323595","0.34104764","-0.08210542","-0.1391085","-0.099499114","-0.3780383","0.08041748","0.28772104","-0.056580074","-0.10066023","0.1700539","-0.540145","-0.63020164","-0.31452677","0.3832181","0.24552043","2.3571105","-2.112765","0.63439476","4.228778","-3.973625","7.5880475","-4.9012394","10.024994","4.1266584","1.3256122","5.0638986","2.5159466","5.4335113","-0.22511613","1.3289415","-0.4936235","1.7052481","2.0509868","-0.43821022","-3.0337136","-0.80834156","3.6527157","-1.3496705","-0.47120583","-0.64081","-0.7533941","0.9072076","-1.4128462","-1.6712936"
"Osmotic diarrhea","0.5054158","0.16731045","-0.27645904","0.41298676","0.09791127","0.50866956","0.55333894","0.23363312","0.006412516","0.14353974","-0.44201055","0.35651293","0.34454253","0.60129637","1.6943271","-0.15130813","-0.6895852","-0.5264178","-2.0301304","1.0881116","-1.6578952","-0.13074353","-1.2037777","1.3806909","-0.8550522","0.23519334","-1.485515","1.0372078","-1.6100779","0.866611","-1.8437433","-1.5400112","2.802099","-0.7213847","-0.050614614","-0.74712646","0.065771446","-0.2855332","-1.424503","-0.75456536","-0.052625936","0.845434","0.1499672","-1.1474061","-2.4817162","1.9064487","2.4381638","0.6711512","1.1604875","0.70846593","1.973256","-0.68995595","0.0038627037","1.7029296","0.21436094","-0.23877938","-0.011941533","-0.55588204","-0.0500969","0.36088914","-0.7336829","0.5472471","-0.14480115","0.038842674"
