"microbe","microbe_full_gip_once_000","microbe_full_gip_once_001","microbe_full_gip_once_002","microbe_full_gip_once_003","microbe_full_gip_once_004","microbe_full_gip_once_005","microbe_full_gip_once_006","microbe_full_gip_once_007","microbe_full_gip_once_008","microbe_full_gip_once_009","microbe_full_gip_once_010","microbe_full_gip_once_011","microbe_full_gip_once_012","microbe_full_gip_once_013","microbe_full_gip_once_014","microbe_full_gip_once_015","microbe_full_gip_once_016","microbe_full_gip_once_017","microbe_full_gip_once_018","microbe_full_gip_once_019","microbe_full_gip_once_020","microbe_full_gip_once_021","microbe_full_gip_once_022","microbe_full_gip_once_023","microbe_full_gip_once_024","microbe_full_gip_once_025","microbe_full_gip_once_026","microbe_full_gip_once_027","microbe_full_gip_once_028","microbe_full_gip_once_029","microbe_full_gip_once_030","microbe_full_gip_once_031","microbe_full_gip_once_032","microbe_full_gip_once_033","microbe_full_gip_once_034","microbe_full_gip_once_035","microbe_full_gip_once_036","microbe_full_gip_once_037","microbe_full_gip_once_038","microbe_full_gip_once_039","microbe_full_gip_once_040","microbe_full_gip_once_041","microbe_full_gip_once_042","microbe_full_gip_once_043","microbe_full_gip_once_044","microbe_full_gip_once_045","microbe_full_gip_once_046","microbe_full_gip_once_047","microbe_full_gip_once_048","microbe_full_gip_once_049","microbe_full_gip_once_050","microbe_full_gip_once_051","microbe_full_gip_once_052","microbe_full_gip_once_053","microbe_full_gip_once_054","microbe_full_gip_once_055","microbe_full_gip_once_056","microbe_full_gip_once_057","microbe_full_gip_once_058","microbe_full_gip_once_059","microbe_full_gip_once_060","microbe_full_gip_once_061","microbe_full_gip_once_062","microbe_full_gip_once_063"
"ACK M1","0.7129779","-0.00779845","-0.03948238","-0.043303054","-0.108560696","-0.033368785","-0.0042553544","-0.07689274","-0.035853352","0.0051222267","0.01198471","-0.118543856","0.06412491","-0.059891608","-0.08587392","-0.019414974","-0.09925281","-0.079022616","-0.12022268","-0.06332613","-0.053789377","0.021435987","-0.03206877","-0.016171547","0.020360136","-0.05022786","0.038988337","-0.10259019","0.043036617","-0.06710113","-0.087775916","-0.04059662","-0.06424852","-0.022759417","-0.035070896","-0.047834963","0.0973197","-0.05675237","-0.10160221","0.11352933","-0.0207305","-0.035468597","-0.07098224","-0.036125764","-0.04822732","-0.0053003817","-0.054918136","-0.04376546","0.0027512584","0.044064112","-0.19376747","-0.15229963","-0.086433634","-0.067214854","-0.034083255","0.09231179","0.0952428","-0.18301745","-0.05853456","0.04923631","-0.07294607","-0.06010089","-0.031189196","0.16843173"
"Abiotrophia","-1.7782255","0.0021049317","-0.03020406","0.015470761","-0.10476597","-1.1377643","-0.09840232","-0.13578382","0.016215168","-0.012964466","0.10090171","-0.19094397","0.091821484","-0.07550725","-0.10092744","-0.008057452","-0.040480673","-0.01944603","-0.023636375","0.05633115","-0.0032733073","0.0960419","-0.07420564","0.083511986","-0.19304301","-0.64666325","1.3243496","-0.15319617","-0.7869979","1.0816078","-0.8811961","0.49199206","-1.9422607","-0.2268217","1.2778577","-0.18178588","0.44780457","-0.13177592","-0.38335687","1.0278876","-0.99031854","0.36372754","-0.1059813","-0.17914566","-0.6060956","1.7353169","0.118638046","-0.73547137","0.5775352","-2.075027","-0.09967547","2.339994","1.1464245","-0.3189173","0.05587902","-0.23515888","-1.1310828","0.42348382","0.34674522","-0.050865468","0.5087205","-0.78224707","-0.46141362","0.21304934"
"Absiella innocuum","0.7161735","-0.008484204","-0.047023702","-0.055542435","-0.12044711","-0.033443563","-0.006975537","-0.100166015","0.06360123","-0.031877793","0.016716816","-0.083500825","0.056319937","-0.0675539","-0.17126289","0.1541979","-0.1696439","-0.03342294","-0.13318117","0.0722457","0.054832727","-0.091023676","-0.05101884","-0.0142476745","0.037272092","-0.04870929","0.07565574","-0.14731722","0.04488216","-0.08983319","-0.15623674","-0.091629826","-0.08628","0.022610582","-0.034728993","-0.1330801","0.14379118","-0.07329571","-0.15942529","0.15531218","-0.03331338","-0.097181134","-0.07872592","-0.061387323","-0.023548648","-0.04982573","-0.17129534","-0.11023764","-0.025178673","0.05126087","-0.3496772","-0.16511066","-0.10309476","-0.17375316","-0.120796174","0.22660777","0.07088078","-0.22134466","-0.1390624","0.044291984","-0.15937269","-0.03051706","-0.10636574","0.1847767"
"Acetanaerobacterium elongatum","0.7161578","-0.00863868","-0.045230437","-0.059787624","-0.10707593","-0.038197614","0.049632672","-0.14864084","-0.021650756","0.028104622","0.025678175","-0.13524432","0.069834374","-0.051185228","-0.09971711","-0.024650538","-0.18190989","-0.07630972","-0.07647906","-0.082279146","0.19224934","-0.036895763","0.017357493","0.045499012","0.074309655","-0.07654573","0.050311394","-0.10739155","0.1317521","-0.13820966","-0.14130934","-0.045062594","-0.10984298","-0.04502371","-0.22510651","-0.17166944","0.12477961","-0.008485243","-0.08430167","0.343202","-0.19217809","0.17748915","0.25563565","-0.3134444","-0.5651649","-0.20386572","0.19937305","0.15553954","-0.029110977","-0.35637572","-1.1862495","-0.046451602","0.5806974","-2.735349","-0.11963568","1.0428717","1.6022912","0.0879346","-0.7640008","0.09850219","2.8705957","0.77297163","1.6065667","0.77464503"
"Acetivibrio","-0.23914413","0.0097958045","-0.04176751","-0.051122867","-0.06339826","-0.038917184","0.014915721","-0.10766839","-0.007504044","-0.09493804","0.05402154","-0.033714715","0.10377931","0.058828607","-0.22513843","-0.025617993","-0.09110493","-0.05540853","-0.28534633","0.54731923","-0.35281458","-0.09115539","-0.17590564","0.9983357","-0.63750064","-0.30997342","0.4954396","-0.6463358","-0.031583983","-0.14040226","-0.71485645","-0.23863879","-0.7455551","0.6907793","-1.2059566","-0.7742583","0.84222925","-0.7857946","-1.2166363","0.46872094","2.0651202","11.2161","-0.00479447","3.7488456","2.872845","-1.4902147","-1.5148685","-0.07032992","1.0662802","2.1235769","-2.14307","1.9060025","-3.6541884","0.33929002","5.9909787","0.27428916","-1.0869879","1.6880336","0.70569026","0.21409976","0.452444","0.027384333","0.5654414","-0.3434446"
"Acetonema","0.7295926","4.849507","-0.0841031","-0.07778449","-0.06959968","-0.13277616","0.036960445","-0.1074586","-0.096997336","-0.0033503077","0.03799991","-0.24714933","0.038265564","-0.1981027","-0.2120075","0.05766672","-0.09572685","-0.13534947","-0.27726454","-0.1798653","-0.13485631","0.039908953","-0.3894165","-0.041585088","0.08416104","-0.8086086","-0.6666454","3.7200801","-0.71816766","0.93877226","1.1083348","0.507461","0.39506733","0.2152299","0.16187958","0.41707134","-0.3320044","0.30843914","0.20234163","-0.19306533","0.060385566","0.09572377","-0.015071361","0.18439534","0.25975668","-0.050984513","-0.16234528","0.1933196","0.04177875","-0.045181487","0.1298803","0.18098159","0.14592493","-0.0822166","0.0906643","-0.12647091","-0.07649748","0.119663395","0.104528606","-0.04546293","0.12471898","-0.014543257","-0.01577252","-0.05641713"
"Acholeplasma","0.19349259","-0.015952555","-0.08744679","-0.2941627","-0.03297995","-0.24084726","-0.21464247","-0.24102142","-0.30299425","-0.37720042","-3.9126122","4.5129657","-0.52892405","-3.2706954","-1.2513739","0.9441766","-0.74088943","0.37191352","0.15749805","-0.052680902","0.5921555","-0.5229787","0.09495156","-0.028932186","-0.088972814","0.6115432","-0.104462564","0.06422702","0.2866598","-0.47299054","-0.13661477","-0.28486395","-0.08362612","0.036544565","0.232557","-0.24375519","-0.04484302","0.5185323","0.2483852","-0.27909228","-0.030850278","-0.64003026","0.09414764","0.67289823","0.9600316","-0.8052629","-1.0436821","0.09130241","0.43070334","-1.077734","-0.48708445","0.31665143","-0.01030796","-0.6409657","0.29955867","0.06649261","0.11239655","-0.41808757","0.4495753","-0.2591009","-0.1133146","-0.17850555","-0.569585","-0.19941181"
"Achromobacter","-1.1504436","-0.0056275497","0.029231554","-0.026654236","-0.15488817","-0.0061493437","-0.02430905","-0.136464","0.2722695","0.054640044","0.45860437","-0.0011507866","-0.1712826","0.13376497","0.66942155","0.82969636","-0.49824226","0.3249174","-0.39293396","0.00048694777","4.008102","-0.80267113","0.42305338","0.3259209","0.36664638","-0.8919952","2.9298565","0.6375813","0.86484474","-2.6832685","2.6143796","0.8172172","-0.63238335","-0.87289643","0.95756555","0.010090443","1.4667176","-0.86310464","-1.6546555","-3.4305983","-0.5247551","-0.0674522","-0.22435902","0.3335855","-0.305229","-0.22496846","0.2489184","0.18544972","0.71967083","0.10019853","-0.30339065","-0.1414696","0.3601055","-0.17088266","0.5052219","0.08646182","0.29831287","-0.7469882","-0.23646413","-0.040791523","-0.32287714","-0.48675418","0.41377902","0.07832383"
"Achromobacter xylosoxidans","0.7151849","-0.008212972","-0.027370172","-0.046017457","-0.113815784","-0.021345437","0.018863976","-0.076899916","-0.038788784","0.007013009","0.021157557","-0.11514789","0.070275985","-0.064425595","-0.10839994","-0.010151014","-0.117197245","-0.07948657","-0.13402802","-0.0670001","-0.066096984","0.020790698","-0.0429352","-0.032471444","0.041535843","-0.10131378","-0.060926497","-0.2194523","-0.029452214","-0.058009002","-0.10878903","0.0073776697","-0.08851139","-0.0698619","-0.086385794","-0.086582534","0.14424968","-0.096382305","-0.17265244","0.1719711","-0.074714825","-0.03823213","-0.21740745","0.16072917","-0.113830715","0.368993","-0.05196998","0.10465996","-0.03370649","-0.0800175","-0.28442785","0.0033322354","0.15200016","0.21739818","-0.07246403","0.21574737","0.0029306072","-0.47947526","-0.19078326","0.5530217","-0.04919068","-0.18687673","-0.58372444","0.06540012"
"Acidaminobacter","0.7402086","-0.025436562","-0.29749504","5.9457793","2.0689342","-0.17246947","-0.05899418","0.16735634","0.3551666","0.29691434","-0.18087566","0.40876016","-0.20224433","0.008807535","0.018212255","-0.073632486","-0.058754005","0.20665826","-0.034502167","-0.17548874","0.15969104","0.09421142","-0.029687569","0.004110625","-0.015205576","-0.15023428","0.029127171","-0.056601185","0.075620145","-0.0041966303","-0.21709287","-0.09082203","-0.055114303","0.004608566","-0.033201218","-0.12728919","0.01916762","-0.028768519","-0.1891574","-0.041692514","-0.064005174","-0.12227902","-0.010796246","0.09998812","0.1236039","0.09836341","0.3023524","-0.21606681","-0.018514078","0.34901965","0.06642747","-0.36941573","-0.48387218","0.284428","-0.61564285","0.17009203","-0.8856441","-0.07642896","-0.52488947","-0.14841901","-0.018726863","0.16082302","-0.9436284","-0.9135887"
"Acidaminococcaceae","0.7059808","-0.014023379","-0.22222719","0.08721209","0.15883379","0.24240097","2.690243","-5.5772934","-0.5921993","0.20481047","0.070312634","-0.23037997","0.1714906","-0.12861404","-0.19635798","-0.09057553","-0.21945792","-0.019027604","-0.22398221","-0.23090099","-0.14971709","0.110766016","-0.01329122","0.04074431","0.40354106","-0.081352726","0.14490214","-0.27115354","0.0771754","-0.20266145","-0.23776422","-0.17312597","-0.108447954","-0.027710106","-0.074502565","-0.19113486","0.27938423","-0.24584375","-0.25303024","0.10973532","-0.075925484","-0.23001792","-0.11350669","-0.24198344","-0.2363056","0.010539817","0.07303293","-0.07351412","-0.05144994","0.029484648","-0.41368645","-0.59984905","-0.59717035","-0.19389077","-0.36403373","-0.20179698","0.6924762","-0.76860017","-0.298754","0.36487556","-0.571014","-0.558074","-0.25362456","0.22060937"
"Acidaminococcus","-2.2566361","0.009191975","0.02148664","0.053232763","-0.12968415","0.16253519","0.012148258","-0.009499486","0.11120369","-0.23804358","-0.012233275","-0.004286776","0.026717367","-0.02878953","0.044322133","-0.09397767","0.004396333","0.25978503","0.000973375","-0.05937581","-0.056162726","-0.13646574","0.0014070675","-0.0127565805","0.052490942","-0.010955568","0.04852518","0.006034964","-0.035085402","0.029669521","-0.012489811","0.0030061798","-0.033593252","0.035043757","-0.02496389","-0.023621403","0.00041506338","-0.045433637","0.094511725","-0.022728713","0.06197154","0.12437358","-0.016146613","-0.17863241","-0.19650103","0.05105294","0.21125948","0.22955598","0.0633146","-0.033177976","-0.19111292","-0.05114444","0.006610386","0.13805284","-0.11570785","0.083901495","0.1402097","0.084426075","-0.050243013","0.01949536","0.07188063","0.19701202","0.20097259","-0.00052569754"
"Acidaminococcus fermentans","0.72193825","-0.013039109","-0.021828825","-0.07434836","-0.38493702","-0.10612756","-0.05714483","-0.21811856","0.2992146","0.25957045","1.258872","-0.24063712","-0.5669771","0.35755813","1.5258653","2.1342807","-1.6396363","0.8571037","-0.11741895","0.2127232","8.335384","-2.2450697","0.38235906","0.69448847","0.631477","0.3258675","-0.19796512","0.15096574","-0.14541584","0.13064562","0.127344","0.17420323","-0.13631591","0.35916057","-0.7474621","-0.57832605","-0.164111","0.14935084","0.13525538","0.638103","0.056386866","0.25282323","-0.09922235","0.029165959","0.04708459","0.056001887","-0.15402164","-0.2453949","0.3887576","-0.22993079","-0.42549935","-0.59555274","0.06405403","-0.10165726","0.06971827","-0.28835574","0.2469181","0.086110465","0.12580332","0.01092988","-0.32765228","-0.12413408","-0.08153945","0.23444718"
"Acidimicrobiales","0.18371537","-0.0044029425","-0.031041013","-0.019661654","-0.084957026","-0.025752854","-0.013501002","-0.06147036","-0.03427834","0.015805675","-0.0047348714","-0.0698342","0.13442697","0.02011968","-0.18125492","-0.29427966","-0.3355159","-0.13506198","-0.066181004","0.100265466","0.09526705","-0.018819513","-0.0081467","-0.024768526","0.008241096","-0.024630867","0.016552228","-0.027880007","-0.042559505","-0.10586909","-0.03656074","-0.018316073","-0.04615512","0.019034043","-0.04118344","-0.14932565","0.03105691","-0.03773409","-0.0684133","0.063728094","0.033769373","-0.14761662","0.030162549","0.10491703","-0.1045482","0.09290052","-0.17607099","-0.23480594","-0.13387744","0.25904474","0.42406207","-0.049565077","0.20426151","-0.3516566","0.3337135","0.22298439","0.5249263","0.102835625","0.09043353","-0.047262754","0.3255832","-1.1121805","0.2484299","0.076269604"
"Acidiphilium","0.7187999","-0.009566562","-0.041630182","-0.093537726","-0.15765977","-0.09009564","0.079640314","-0.056144617","-0.1530668","0.0701515","-0.1578161","0.07814244","0.075452246","-0.26352957","-0.07722989","0.16024072","-0.19226356","-0.07508271","-0.11858472","-0.11172783","0.10000984","-0.024062365","-0.18301864","0.027631693","0.06901047","0.09696639","0.19469488","-0.3336357","0.12806663","-0.34914193","-0.21727099","-0.20352866","-0.26178113","-0.41163465","-0.23345602","-0.3862995","-0.4744515","0.19758877","-0.07286881","-0.2914103","0.71005094","-1.1576244","1.4648092","2.3301964","0.3885291","2.4244204","-1.1639196","-4.5811415","-1.7982568","7.390164","5.52826","0.9478411","1.1073242","-4.055489","-0.21131347","0.07468937","-1.6064831","1.0837146","0.12702852","-0.5002505","2.4595273","-5.2742343","0.14664584","0.108438544"
"Aciditerrimonas","0.7228949","-0.010395455","0.05700498","-0.071533374","-0.12044044","-0.04415257","-0.032219537","-0.11907809","0.14190719","-0.042204093","-0.07876937","-0.09808599","-0.13950998","0.19642052","0.060576096","-0.21046743","0.20605254","-0.33755592","-0.14336443","-0.26313674","-0.20030998","-0.039443415","0.4138846","-0.81348836","-0.011731301","1.3486859","1.0687053","-1.3638461","-2.1074905","-1.986936","3.0530837","-2.7007167","8.46933","3.6983325","-5.7737637","0.5388548","-0.42205024","0.6836231","-0.021773357","-1.6056259","-1.1292651","-0.36729658","-0.29654273","0.18513939","0.058599364","-0.349306","-0.27011314","-0.09249594","0.75647265","0.71066076","-0.71785104","1.1082938","0.062628396","0.22874367","-0.36718145","0.13073929","0.20827879","0.029646749","0.027293239","0.10610423","-0.05786309","-0.06949834","-0.023579443","-0.13214521"
"Acidobacteria","-1.3466182","0.0063470723","0.062864445","-0.07832426","-0.10366761","-0.18153265","-1.1917112","2.1233358","0.24769261","-0.014260231","-0.07805056","-0.19193208","0.010433566","0.072024964","0.12882948","0.04288244","0.12607212","-0.07696055","0.04561273","0.0885795","-0.0013044016","-0.08944819","0.36079293","-4.003158","0.9226471","0.9394214","0.69145083","-0.28743508","-0.4995868","-0.895739","1.046914","-1.0567096","2.7786646","2.6752613","-2.4908664","0.22763844","0.39216474","-0.29953283","-0.83506405","-0.8266219","3.595345","-0.26837456","-0.72590524","1.1158267","-0.17381415","-0.3429367","0.73534167","-0.9464195","-0.17907563","-0.96515095","-0.42401332","0.8724192","0.6938702","-0.207664","-0.81174695","-0.8497906","0.22260089","-0.117626004","0.11996186","-0.14982675","-0.105697155","-0.2339228","-0.18064111","-0.022085879"
"Acidobacteriaceae","0.19293962","-0.009264242","-0.05620159","-0.051837735","-0.11422792","-0.051815044","-0.041153796","-0.04229005","-0.10474881","0.20077284","0.20317955","-0.006100069","0.05697529","-0.11623661","-0.14038518","-0.07013687","-0.12993579","-0.05036518","-0.2864296","-0.16834775","-0.11322739","0.06604977","-0.15793987","-0.071123995","0.010293419","-0.16127363","0.4159802","-0.32412496","-0.2546791","-0.26760703","-0.107191645","-0.2758827","-0.71390814","0.38256952","-0.7426697","-1.090782","3.0863545","-6.2732897","8.958863","-1.0378082","-0.32649457","-1.1361544","-0.5442305","0.95143723","2.1723015","-1.0006754","-0.90154386","0.3203027","0.33657303","-1.1010678","0.6591012","0.45225674","0.247461","-0.8871513","0.41573006","-0.24763948","-0.55357665","0.26288873","0.23758037","-0.13863955","0.21936397","0.097479686","-0.260585","-0.06251462"
"Acidocella","0.7009531","0.0029110184","0.15660758","-5.0549383","-1.8756275","0.08309378","0.052682962","-0.31738123","-0.27893955","-0.12167806","0.20571886","-0.40881345","0.2538483","-0.06347622","-0.13289043","-0.04922125","-0.19457483","-0.21142307","-0.28455544","-0.10802783","-0.13665898","0.034635928","0.0071602906","0.0008087034","0.036328666","-0.21066444","0.012297741","-0.44881725","0.0032424878","-0.25762206","-0.18686266","-0.2038742","-0.3250844","-0.17468148","-0.031746764","-0.3502192","0.12646344","-0.13094218","-0.5676568","0.055841334","-0.06649017","-0.22318007","-0.23629154","0.20731206","0.42588395","0.22882386","0.68421465","-0.53073514","0.09761072","0.618505","-0.061833434","-0.9609815","-1.1141518","0.3939081","-1.5026548","0.5245145","-1.9132152","-0.5189947","-1.5205129","-0.22535934","0.9643807","0.7495478","-2.084276","-2.2299674"
"Acidovorax","-1.353702","0.0032853296","0.058178507","-1.8037851","-0.637976","-0.06920163","-0.06845513","-0.1945808","-0.20438053","-0.09891564","-1.4935205","1.7147729","-0.17157885","-1.3292551","-0.5831789","0.3636586","-0.32323977","0.057833932","-0.10396389","-0.031917106","0.20046215","-0.0842792","0.14903265","0.18233724","-0.117866196","0.08545387","0.13226393","-0.3766902","-0.039524306","-0.2959075","-0.24521375","-0.37190387","-0.025899773","0.05372001","0.39893094","-0.25810447","0.10808745","0.14346431","-0.5960194","-0.0567581","-0.13670607","-0.31269318","-0.26322636","1.3783469","2.5863137","-0.6064711","-2.0123754","-0.37817138","0.07325551","-0.5302609","1.0329227","-2.199727","3.2883964","5.1957784","-1.1248623","3.0550158","-1.259704","0.6620561","-0.038870417","-3.552459","-0.33066437","-0.08193437","-1.5978299","0.27997202"
"Acinetobacter","-2.3246505","0.0066013034","0.0013073584","0.021565696","-0.012970478","-0.0024005459","-0.010399","0.0018101111","-0.009177693","0.012143661","-0.003186588","-0.017882517","-0.004715674","-0.014268707","-0.011841662","-0.020395515","0.0036764718","-0.0053574876","-0.016698841","0.002096229","-0.0067581427","-0.0036401658","0.003525127","-0.0065847896","0.003961217","-0.009992509","-0.004173293","0.021280874","0.007532607","0.013156085","0.008254584","0.017265692","0.0015439725","0.013900225","-0.019444099","0.022789279","0.02561682","-0.007738954","0.0014471336","0.020738803","0.002372602","0.0051789894","-0.01862019","-0.006459163","-0.010798592","-0.0068317843","-0.034240372","0.01833089","0.0023725643","0.010483825","-0.025006048","-0.034687374","0.00405172","-0.023087056","0.014244016","0.008615186","0.0093846","-0.026183505","0.012599391","0.004933392","0.001543821","-0.01219275","-0.0067475545","0.023184845"
"Acinetobacter antiviralis","0.18723142","-0.050275695","-0.07716878","-0.02336301","-0.5196495","-6.8852515","-0.5522265","-0.80700195","0.52832127","-0.14363009","0.2370082","-0.53487784","0.2697482","0.3902936","-0.38076746","0.05148733","-0.09894205","-0.22340296","-0.099030994","-0.4824723","-0.2990491","-0.003989797","-0.22381243","0.68618","-0.55211455","1.5627196","-0.013902591","-0.8590627","-0.075412616","-0.3642956","-0.6293884","-0.7673993","-0.6573447","-1.2994895","0.921946","-2.265884","-6.001746","1.6679676","2.172052","-4.7326403","2.0567157","0.8034499","-2.204642","-1.9647532","0.80380553","2.0197685","0.874516","-0.17929143","0.7627447","-1.320657","0.14934367","2.8061385","2.431072","0.7672868","1.4740683","-0.7068898","0.34532782","-0.48630965","0.7282774","0.4710068","-0.14266863","1.2339692","-0.44390035","-1.2048739"
"Acinetobacter baumannii","-0.24904695","-0.04116811","-0.07356874","-0.044194814","-0.3472849","-5.826718","-0.45594314","-0.67383564","0.47793055","-0.123884976","0.21907605","-0.47208688","0.16504763","0.3188436","-0.37377715","0.04565997","-0.1222518","-0.32188416","-0.13884948","-0.45825723","-0.36453778","0.020668367","-0.20631771","0.57722896","-0.66426146","1.4452994","-0.047809675","-0.7267542","-0.07124366","-0.30259594","-0.44274467","-0.5309691","-0.82945955","-1.2420487","0.50108784","-2.2055504","-5.6800604","1.5451816","1.9994631","-5.388637","2.0184922","0.84952575","-3.0182743","-1.8901842","0.2833288","4.6472435","-3.229239","-1.4322816","-0.8227305","-3.0684342","-1.1783841","1.1247591","-1.6041628","0.34336588","-2.0002828","-0.606275","1.433035","3.3074975","0.86193687","-0.018879091","0.03968741","0.7271892","1.742417","-1.525635"
"Acinetobacter calcoaceticus","0.18723142","-0.050275695","-0.07716878","-0.02336301","-0.5196495","-6.8852515","-0.5522265","-0.80700195","0.52832127","-0.14363009","0.2370082","-0.53487784","0.2697482","0.3902936","-0.38076746","0.05148733","-0.09894205","-0.22340296","-0.099030994","-0.4824723","-0.2990491","-0.003989797","-0.22381243","0.68618","-0.55211455","1.5627196","-0.013902591","-0.8590627","-0.075412616","-0.3642956","-0.6293884","-0.7673993","-0.6573447","-1.2994895","0.921946","-2.265884","-6.001746","1.6679676","2.172052","-4.7326403","2.0567157","0.8034499","-2.204642","-1.9647532","0.80380553","2.0197685","0.874516","-0.17929143","0.7627447","-1.320657","0.14934367","2.8061385","2.431072","0.7672868","1.4740683","-0.7068898","0.34532782","-0.48630965","0.7282774","0.4710068","-0.14266863","1.2339692","-0.44390035","-1.2048739"
"Acinetobacter gerneri","0.18723142","-0.050275695","-0.07716878","-0.02336301","-0.5196495","-6.8852515","-0.5522265","-0.80700195","0.52832127","-0.14363009","0.2370082","-0.53487784","0.2697482","0.3902936","-0.38076746","0.05148733","-0.09894205","-0.22340296","-0.099030994","-0.4824723","-0.2990491","-0.003989797","-0.22381243","0.68618","-0.55211455","1.5627196","-0.013902591","-0.8590627","-0.075412616","-0.3642956","-0.6293884","-0.7673993","-0.6573447","-1.2994895","0.921946","-2.265884","-6.001746","1.6679676","2.172052","-4.7326403","2.0567157","0.8034499","-2.204642","-1.9647532","0.80380553","2.0197685","0.874516","-0.17929143","0.7627447","-1.320657","0.14934367","2.8061385","2.431072","0.7672868","1.4740683","-0.7068898","0.34532782","-0.48630965","0.7282774","0.4710068","-0.14266863","1.2339692","-0.44390035","-1.2048739"
"Acinetobacter guillouiae","0.7180511","0.029749025","-0.0401749","-0.0717298","-0.12785272","-0.04560199","-0.004725815","-0.10000965","-0.02939702","0.04447099","0.025037503","-0.14178781","0.10702712","-0.08740387","-0.15918644","0.011790584","-0.15757409","-0.047966633","-0.1178139","-0.13324237","-0.1586612","-0.08457488","-0.11399532","-0.073082246","0.0509621","0.038265355","-0.34592274","0.1673241","0.32605338","-0.3262272","0.004282365","-0.06390845","-0.14399622","-0.109295614","-0.17762563","-0.18073337","0.48707518","-0.11319575","0.018918728","-0.0731477","0.39315382","0.5423429","-0.17099853","-0.43829298","-2.7666492","-0.18029535","0.023337344","-0.4217576","1.6136894","0.4907099","0.3448471","0.1447971","-0.13183379","0.9019515","-0.8252828","0.556818","-0.77104264","-0.3741734","-0.45020702","0.001028134","-0.50039417","0.60148984","-0.021221522","-0.24432331"
"Acinetobacter johnsonii","-0.24638715","-0.0042714844","-0.03126027","-0.038628213","-0.098497085","-0.030816022","-0.0007203527","-0.05924198","-0.09337002","0.012538246","0.020288613","-0.12692912","0.08287886","-0.059089553","-0.05449475","0.032151014","-0.10523122","-0.06278674","-0.0758777","0.0006052236","0.021373669","-0.025230514","-0.082720615","0.049240656","0.014892012","-0.057607874","0.2654111","-0.04583361","-0.010724839","0.048840534","-0.06922124","-0.4895272","-0.21473089","-0.32749152","-0.34170347","-0.20905325","0.10034894","-0.052408624","-0.27543902","0.23337959","-0.05736462","-0.89444447","-0.08005446","-0.38806355","-0.038449302","0.315987","0.095806696","-0.44497234","-0.108683534","-0.21461311","-0.37355912","-0.47852978","-0.9663206","-0.14945592","0.16907649","0.10564244","0.21929978","-1.0499301","-0.61740685","-0.67545456","-0.6039531","-0.137698","-1.111484","0.6156449"
"Acinetobacter junii","0.7139451","-0.008457552","-0.045589823","-0.060232174","-0.06956541","-0.037712988","-0.00013975374","-0.07258434","-0.06424055","0.019666871","-0.04099765","-0.04014753","0.035119355","-0.11288437","-0.12669861","-0.028864449","-0.13760415","-0.0898617","-0.1317267","-0.20872417","-0.050802685","0.015733028","-0.036688752","0.117434844","-0.07487307","-0.06836216","0.030728403","-0.11470582","0.05778295","-0.09363485","-0.10236015","-0.06710174","-0.045593176","-0.025104932","-0.010569778","-0.027236","0.14899325","-0.03149514","-0.14026617","0.15847503","-0.10813621","-0.20125493","-0.032312807","-0.04018477","-0.002505988","-0.11148789","-0.02151836","-0.044888936","0.0031908036","-0.035249837","-0.22844768","-0.08293979","-0.115047425","-0.07432647","0.04987373","0.21809582","0.08671475","-0.058197543","0.003380712","0.033035647","-0.120953575","-0.10979956","-0.039466564","0.10152765"
"Acinetobacter lwoffii","0.71477","-0.008347548","-0.042242598","-0.04861731","-0.1080488","-0.036719147","-0.0037994126","-0.082341895","-0.04095873","0.025453083","0.0020766177","-0.13188228","0.066620156","-0.07196178","-0.093174286","-0.025979264","-0.10078765","-0.08384428","-0.17725572","-0.051822465","-0.05824325","0.016327156","-0.04052938","-0.028373614","0.040709324","-0.07579093","-0.33518764","-0.2759614","0.19300117","-0.3998701","-0.12423045","0.6861798","0.13702816","0.41583169","0.30981073","0.07879174","0.034132224","-0.03461714","0.055607196","0.021851884","-0.10265013","0.24813394","-0.065126054","0.056104295","-0.27098233","-0.110117234","-0.07745233","-0.0088971425","-0.098489515","0.19391523","-0.15913072","-0.3309536","0.2600054","0.15571523","-0.22490329","0.4193495","0.05891039","0.09869433","0.0853055","0.55864483","-0.14615297","-0.18662724","0.10367105","0.023820063"
"Acinetobacter radioresistens","0.7116395","-0.008339512","-0.05248276","-0.08344278","0.02133319","-0.13212171","0.0067742425","-0.07440345","0.01746285","-0.0018771216","0.044569653","-0.14135902","-0.03266484","-0.06795724","-0.14196987","-0.011195606","-0.1569823","-0.23291522","-0.1744847","-0.1260475","-0.17964815","0.054649934","-0.05072182","-0.023112714","-0.24577487","0.10920209","-0.0168754","-0.08826762","0.021899004","-0.048034415","0.05551234","0.12924094","-0.40032983","-0.19593734","-0.39096633","-0.3872714","-0.6037746","0.08660397","0.09157051","-1.7000204","0.30626336","0.19304867","-1.5615014","-0.28554207","-0.6187323","3.9605918","-5.5295935","-1.816355","-2.0596404","-2.5938914","-1.969446","-1.9452869","-5.172974","-0.50480944","-4.523181","0.09139222","1.6305609","4.923881","0.25324357","-0.5455971","0.15457289","-0.5333541","2.8576887","-0.4626435"
