"microbe","microbe_full_gip_once_000","microbe_full_gip_once_001","microbe_full_gip_once_002","microbe_full_gip_once_003","microbe_full_gip_once_004","microbe_full_gip_once_005","microbe_full_gip_once_006","microbe_full_gip_once_007","microbe_full_gip_once_008","microbe_full_gip_once_009","microbe_full_gip_once_010","microbe_full_gip_once_011","microbe_full_gip_once_012","microbe_full_gip_once_013","microbe_full_gip_once_014","microbe_full_gip_once_015","microbe_full_gip_once_016","microbe_full_gip_once_017","microbe_full_gip_once_018","microbe_full_gip_once_019","microbe_full_gip_once_020","microbe_full_gip_once_021","microbe_full_gip_once_022","microbe_full_gip_once_023","microbe_full_gip_once_024","microbe_full_gip_once_025","microbe_full_gip_once_026","microbe_full_gip_once_027","microbe_full_gip_once_028","microbe_full_gip_once_029","microbe_full_gip_once_030","microbe_full_gip_once_031","microbe_full_gip_once_032","microbe_full_gip_once_033","microbe_full_gip_once_034","microbe_full_gip_once_035","microbe_full_gip_once_036","microbe_full_gip_once_037","microbe_full_gip_once_038","microbe_full_gip_once_039","microbe_full_gip_once_040","microbe_full_gip_once_041","microbe_full_gip_once_042","microbe_full_gip_once_043","microbe_full_gip_once_044","microbe_full_gip_once_045","microbe_full_gip_once_046","microbe_full_gip_once_047","microbe_full_gip_once_048","microbe_full_gip_once_049","microbe_full_gip_once_050","microbe_full_gip_once_051","microbe_full_gip_once_052","microbe_full_gip_once_053","microbe_full_gip_once_054","microbe_full_gip_once_055","microbe_full_gip_once_056","microbe_full_gip_once_057","microbe_full_gip_once_058","microbe_full_gip_once_059","microbe_full_gip_once_060","microbe_full_gip_once_061","microbe_full_gip_once_062","microbe_full_gip_once_063"
"Prevotella multiformis","0.71526104","-0.0082589695","0.0021602402","-0.04930881","-0.10702987","-0.03607429","0.0023089563","-0.095510915","-0.040250525","0.013872524","0.017234802","-0.13008803","0.075650364","-0.07682235","-0.09386274","-0.021489372","-0.11139842","-0.08403221","-0.12679535","-0.06931932","-0.057219516","0.028615803","-0.037413437","-0.024657434","0.024857285","-0.06387621","0.03333588","-0.12209559","0.053922325","-0.07093799","-0.11823877","-0.048845757","-0.08567935","-0.028765945","-0.029141191","-0.061159007","0.11286907","-0.07680598","-0.08971736","0.11345014","-0.013546508","-0.012960642","-0.045920406","-0.03771568","0.025318796","0.05559073","0.03494848","-0.26526633","0.21500748","0.028566526","-0.2715452","-0.08674836","-0.4147558","-0.06438365","-0.33190224","0.60534835","0.26826233","-0.44031808","-0.20367648","0.0682209","-0.26404035","-0.10547124","-0.20274353","0.06932706"
"Prevotella multisaccharivorax","0.7216332","-0.023771504","-0.010737325","0.051130727","-0.86284035","-0.7935589","5.9878936","2.7326448","0.94978786","0.87415975","-0.031165108","0.4423813","0.17409173","-0.25236467","-0.26141742","-0.36250168","-0.167604","0.027791405","-0.12814151","0.088786066","0.0693976","0.08243335","-0.04781117","-0.004738849","0.14459932","-0.2762583","-0.019163812","-0.3998137","0.0701275","-0.016096164","0.020690933","-0.009708534","0.06677974","-0.3057061","-0.081495166","-0.17042312","0.036840986","-0.08637388","-0.18801722","0.09795997","0.11025737","-0.11340085","1.0342447","-0.10924523","0.09229539","0.41243425","0.2561256","-0.28961286","-0.043979477","-0.833274","-0.53681767","0.2682","0.05514835","0.10239059","0.029863698","0.18932949","-0.090699494","-0.23484947","-0.25472546","0.018259753","0.30476588","-0.60789746","0.6952541","2.0800862"
"Prevotella nanceiensis","-1.777052","-0.001553985","0.02081954","0.06515746","-0.04846942","0.07448974","0.055450417","-0.00846943","0.024987217","0.1013507","0.8733979","-1.0992334","0.15088303","0.76030356","0.31707314","-0.33365095","0.096085526","-0.15485181","-0.12238188","-0.18988648","-0.1398593","0.12855425","-0.061191823","0.017577123","0.032955196","0.7853251","-1.6354213","0.30860633","1.5502163","-0.86594695","0.0046745567","-0.12866123","0.3141329","-0.5317547","-0.040784013","-0.12650926","-0.024124665","-0.20720215","0.22238544","-0.12812418","-0.3814048","0.60231054","-0.34409797","-0.58824104","-0.15498221","0.19330272","0.7135942","-0.81710297","-0.480476","0.520734","-0.026090033","0.58842033","0.38081527","-0.029601654","-0.1599276","-0.33865747","-1.0009154","0.4078312","0.23594777","0.0026210395","0.24956934","-1.3461305","0.076221064","0.4548016"
"Prevotella nigrescens","-1.7718093","0.012523307","0.011816102","0.033132493","0.15145257","1.3024602","-0.9780435","-0.4334207","-0.2055431","-0.083389536","0.8781781","-1.0247736","0.064545944","0.6619211","0.43967792","-0.027718449","-0.0802247","-0.30805907","0.6070757","0.028902458","-0.11016188","0.0036017038","0.048738748","-0.14303157","0.39898127","-1.1216444","-1.1091318","-1.1805906","-0.8810444","-0.069985665","0.39506048","-0.43151575","1.1360158","-1.782531","1.7975537","0.1615045","-0.4467701","0.14129832","0.65561074","0.04804495","-2.6975703","0.97819436","-0.1082546","0.7741188","0.25868794","4.421234","0.99218965","1.2505945","0.7459025","0.034302533","0.1524372","1.1380737","0.7079082","0.0788907","0.6492642","-0.15263772","-0.8154588","0.22144277","0.1894102","0.22234456","0.4908208","-0.44621882","0.41187298","1.3428271"
"Prevotella oralis","-1.351849","-0.0025472871","0.0037914126","-0.0029079043","-0.2252641","-0.2761821","2.2518435","1.0131758","0.6434641","0.46901804","-1.9520944","-1.5228814","0.4321254","-0.34452298","-0.018299468","0.13137145","-0.31821582","-0.055878405","0.51312846","-0.25994352","0.24134949","-0.018745251","-0.06892605","-0.0058567873","0.15022983","0.15092382","0.22407901","-0.32880995","-0.1652246","0.22044864","-0.34250718","-0.1678041","-0.04487611","-0.43867636","0.17993133","-0.17682977","0.0003630877","0.21498917","0.12582262","0.34977168","-2.9567306","-0.6852845","-1.3175459","7.0925317","-1.9873942","3.022278","1.9321288","-0.43243325","-0.7450594","-0.16659178","1.8546201","0.62614226","-0.10215568","0.49637538","1.2831682","-0.26030278","3.562946","0.121531785","-0.082882345","-0.9984221","-0.7994185","4.6218195","0.783082","0.26429367"
"Prevotella oris","-0.90527177","-0.030119376","-0.024574896","0.048815835","-0.5964073","-2.887422","2.8696277","1.125385","0.5594938","0.43502462","0.03149371","0.14490287","0.06746736","0.11738471","-0.29867345","-0.13973783","-0.09792097","-0.035491627","-0.019004691","-0.020674612","0.0005922094","0.10590915","0.049068596","0.49117795","0.28055573","-1.1060686","-0.22733116","-0.9228069","-0.6940648","-0.16223995","0.7121814","0.1077454","0.35241276","-3.1419601","0.2442658","-0.8351906","-2.9569604","1.1743388","1.7673327","-1.2574639","-2.966831","1.1957188","3.5794907","-4.8487964","1.1564958","-4.729442","-2.2091863","-2.0507643","-0.5459501","1.5453551","-0.48837617","-0.79612076","-0.8968026","0.3784334","0.37940744","0.46283373","0.6782073","-0.18011628","-0.33049163","0.46621487","-0.15150882","0.18211484","0.23148657","1.4117618"
"Prevotella oulorum","-0.6019488","0.0029608235","-0.04707589","-0.03084759","-0.019000202","-0.29056537","0.24688143","-0.26315048","0.85214585","-0.31232095","-0.35864863","-0.22111398","0.15751119","-0.18688524","0.5002198","1.3757513","0.047545694","-0.5467278","-0.05812096","5.260744","-0.9079681","-1.1868393","0.002887945","-0.052210663","0.24751961","-0.42593277","0.079690486","-0.07580028","0.15005088","-0.09312422","-0.16895826","0.12847494","0.26489568","-1.6928735","0.16860771","-0.06956055","0.4102253","0.5498925","0.6546087","1.4566816","-8.659076","1.1653261","-0.27583754","0.9801917","0.23656875","5.7445064","0.284922","1.9585695","1.551569","0.35806367","-0.48122978","1.7723405","0.86961234","0.4245761","0.34976026","0.04405579","-0.60640454","0.26900408","0.05777944","0.30195254","0.11065901","0.009712479","-0.23486908","-0.9200427"
"Prevotella pallens","-1.521135","0.0015044595","0.023808528","-0.0011597819","-0.073952645","0.07332372","0.051119324","-0.017177576","-0.040896952","0.012784066","0.01201834","-0.16013145","0.065246895","0.043299362","-0.044263825","-0.025041588","-0.08357863","-0.027513025","-0.08218982","-0.20336913","0.07422686","0.027118316","-0.07812794","0.062630475","-0.008392123","0.5381036","-0.06781011","-0.0064840373","0.4158907","-0.1912018","-0.49270636","0.099158674","0.17479065","-0.4407655","0.033252936","-0.30969656","-0.45069385","0.047775857","0.11719363","-0.4290207","-0.039462987","0.16870253","0.4139148","-0.13533176","0.28574008","1.3092729","0.044530302","-2.2498226","-1.1545863","2.7120552","1.8389316","1.4875143","1.0799311","-1.8612719","-0.2737744","-0.34718323","-2.4562917","0.6578606","0.22259861","-0.20893085","1.5685222","-4.151754","-0.08064298","0.7613691"
"Prevotella pleuritidis","0.18594255","-0.0026648736","-0.02578229","-0.023061795","-0.08312299","-0.16249114","-0.08602454","-0.18534313","0.1577276","-0.11497802","-0.27068937","0.23872125","-0.10963807","-0.11842674","-0.30467534","0.20000465","-0.17770106","-0.1469423","0.048551507","0.19279483","-0.017591842","-0.042815704","0.32774854","0.10968029","1.3202744","-5.76996","-3.0796378","-3.3201954","-3.28779","-0.07529216","2.9268339","0.2767125","0.6121779","-6.3511415","-0.6167761","-0.503343","-1.7541972","0.84359574","1.5719204","0.66907936","-5.791095","1.3938435","1.8179536","-1.3647013","0.4673911","1.201589","-1.0764737","1.7553881","1.3425949","1.7504807","-0.74966735","-0.59188086","-0.576529","0.29806787","0.74985003","0.39507332","-0.1766351","0.21385048","-0.05234454","0.40569547","0.12894231","-0.49374127","0.082436554","0.12058251"
"Prevotella ruminicola","0.71133363","-0.0074937167","-0.061125997","-0.084909625","0.18993829","0.055700514","0.19014841","0.0029059213","0.6162874","0.28722668","-5.2569447","-5.049901","1.0660665","-0.21424565","0.12797731","0.6212394","-0.8257203","-0.14802441","1.6131115","-0.9993974","0.5038408","-0.16394052","-0.06056827","0.7585127","0.02757357","-0.17721634","0.38138998","-0.21607386","0.06751761","-0.22805737","-0.244128","-0.20163223","0.11809203","-0.19024728","-0.03213509","-0.20408864","0.29290536","-0.35147452","0.042303056","0.17485681","0.024108164","0.11430537","0.06017926","-0.028986793","0.17499806","0.12272207","0.48481858","-0.12437995","-0.07764705","-0.1820349","0.08605525","-0.6320237","-0.5277616","-0.06635432","-0.28194994","0.16938128","-0.27785173","0.008392722","-0.09207742","0.23339844","-0.35908318","0.3445016","-0.16372354","0.44393992"
