"disease","disease_external_has_mesh_id","disease_external_has_mesh_heading","disease_external_has_scientific_name","disease_external_has_hsdn","disease_external_hsdn_symptom_count","disease_external_pubmed_occurrence_sum","disease_external_tfidf_sum"
"Autism","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Autism Spectrum Disorders","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Autism spectrum disorder","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Autism spectrum disorders","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Autoimmune hepatitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Autoimmune polyendocrine syndrome type 1","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Azoospermia","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Bacterial Vaginosis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Bacterial vaginosis","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Barrett's oesophagus","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Behcet's Disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Biliary atresia","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Biliary tract cancer","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Bipolar disorder","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Bladder cancer","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Bleeding gum","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Blepharitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Botulism","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Breast cancer","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Bronchiectasis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Bronchiolitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Budd-Chiari syndrome","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Bullous pemphigoid","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"COPD","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
