"microbe","disease","sign","effect"
"ACK M1","hyperglycemia","-1","decrease"
"Abiotrophia","Chronic Obstructive Pulmonary Disease","1","increase"
"Abiotrophia","Laryngeal carcinoma","1","increase"
"Abiotrophia","Obstructive sleep apnea-hypopnea syndrome","1","increase"
"Abiotrophia","Oral lichen planus","-1","decrease"
"Abiotrophia","Otitis Media","-1","decrease"
"Abiotrophia","Preeclamsia","1","increase"
"Abiotrophia","Sjögren Syndrome","-1","decrease"
"Abiotrophia","Smoking","-1","decrease"
"Abiotrophia","lung cancer","1","increase"
"Abiotrophia","periodontitis","-1","decrease"
"Absiella innocuum","Sarcopenia","1","increase"
"Acetanaerobacterium elongatum","Type 1 Diabetes","-1","decrease"
"Acetivibrio","Fibromyalgia","1","increase"
"Acetivibrio","Gestational diabetes","-1","decrease"
"Acetivibrio","Hepatitis C","-1","decrease"
"Acetonema","Type 1 diabetes","-1","decrease"
"Acholeplasma","Neuromyelitis optica","1","increase"
"Acholeplasma","Obesity","-1","decrease"
"Achromobacter","Gastric carcinoma","1","increase"
"Achromobacter","HIV infection","1","increase"
"Achromobacter","Oral lichen planus","1","increase"
"Achromobacter","Rheumatoid Arthritis","-1","decrease"
"Achromobacter","squamous cell carcinoma","1","increase"
"Achromobacter","ulcerative colitis","1","increase"
"Achromobacter xylosoxidans","cystic fibrosis","1","increase"
"Acidaminobacter","Colorectal cancer","1","increase"
"Acidaminococcaceae","obesity","1","increase"
"Acidaminococcus","Adolescent idiopathic scoliosis","-1","decrease"
"Acidaminococcus","Alcoholism","1","increase"
"Acidaminococcus","Asthma","1","increase"
"Acidaminococcus","Behcet's Disease","1","increase"
"Acidaminococcus","Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy","-1","decrease"
"Acidaminococcus","Cirrhosis","-1","decrease"
"Acidaminococcus","Crohn's Disease","1","increase"
"Acidaminococcus","Hepatocellular cancer","-1","decrease"
"Acidaminococcus","Infantile eczema","-1","decrease"
"Acidaminococcus","Keratitis","-1","decrease"
"Acidaminococcus","Myasthenia gravis","1","increase"
"Acidaminococcus","Non-alcoholic fatty liver disease","-1","decrease"
"Acidaminococcus","Pancreatic cancer","1","increase"
"Acidaminococcus","Parkinson's Disease","1","increase"
"Acidaminococcus","Posttraumatic stress syndrome","1","increase"
"Acidaminococcus","Pouchitis","-1","decrease"
"Acidaminococcus","Primary sclerosing cholangitis-IBD","1","increase"
"Acidaminococcus","Type 1 Diabetes","-1","decrease"
"Acidaminococcus","Type 1 diabetes mellitus","-1","decrease"
"Acidaminococcus","Type 2 Diabetes","1","increase"
"Acidaminococcus","periodontitis","1","increase"
"Acidaminococcus fermentans","HIV infection","1","increase"
"Acidimicrobiales","Keratitis","1","increase"
"Acidimicrobiales","fungal Keratitis","1","increase"
"Acidiphilium","Behcet's Disease","-1","decrease"
"Aciditerrimonas","Obstructive sleep apnea-hypopnea syndrome","-1","decrease"
"Acidobacteria","Autism spectrum disorders","1","increase"
"Acidobacteria","Influenza A","1","increase"
"Acidobacteria","Obstructive sleep apnea-hypopnea syndrome","-1","decrease"
"Acidobacteria","Primary biliary cirrhosis","-1","decrease"
"Acidobacteria","Systemic lupus erythematosus","-1","decrease"
"Acidobacteria","intestinal metabolic perturbation","-1","decrease"
"Acidobacteria","obesity","-1","decrease"
"Acidobacteriaceae","Appendicitis","-1","decrease"
"Acidobacteriaceae","Irritable bowel syndrome(IBS)","1","increase"
"Acidocella","Colorectal cancer","-1","decrease"
"Acidovorax","Alzheimer's Disease","1","increase"
"Acidovorax","Colorectal cancer","-1","decrease"
"Acidovorax","Inflammatory Bowel Disease","1","increase"
"Acidovorax","Interstitial cystitis","-1","decrease"
"Acidovorax","Kidney stone with hypertension","-1","decrease"
"Acidovorax","Lung cancer","-1","decrease"
"Acidovorax","Obesity","-1","decrease"
"Acinetobacter","Acute fatty liver","1","increase"
"Acinetobacter","Alcoholic hepatitis","-1","decrease"
"Acinetobacter","Alzheimer's Disease","-1","decrease"
"Acinetobacter","Asthma","-1","decrease"
"Acinetobacter","Autism spectrum disorders","1","increase"
"Acinetobacter","Bacterial vaginosis","1","increase"
"Acinetobacter","Bladder cancer","1","increase"
"Acinetobacter","COPD Exacerbation","1","increase"
"Acinetobacter","Caries","1","increase"
"Acinetobacter","Celiac Disease, Coaliac disease","-1","decrease"
"Acinetobacter","Chronic Obstructive Pulmonary Disease","-1","decrease"
"Acinetobacter","Chronic alcoholic pancreatitis","1","increase"
"Acinetobacter","Chronic kidney disease","1","increase"
"Acinetobacter","Chronic mucocutaneous candidiasis","1","increase"
"Acinetobacter","Colorectal cancer","-1","decrease"
"Acinetobacter","Constipation","1","increase"
"Acinetobacter","Coronary artery disease","-1","decrease"
"Acinetobacter","Crohn's Disease","1","increase"
"Acinetobacter","Crohns disease","1","increase"
"Acinetobacter","Endometriosis","1","increase"
"Acinetobacter","Excessive vomiting","1","increase"
"Acinetobacter","Gastric cancer","1","increase"
"Acinetobacter","Gastric carcinoma","-1","decrease"
"Acinetobacter","Generalized anxiety disorder","-1","decrease"
"Acinetobacter","Gestational diabetes","-1","decrease"
"Acinetobacter","HIV infection","1","increase"
"Acinetobacter","Helicobacter pylori infection","1","increase"
"Acinetobacter","Henoch-Schönlein Purpura","-1","decrease"
"Acinetobacter","Hepatitis C","1","increase"
"Acinetobacter","Huntington's Disease","1","increase"
"Acinetobacter","Hyper IgE syndrome","1","increase"
"Acinetobacter","Idiopathic central precocious puberty","1","increase"
"Acinetobacter","Infant colic","1","increase"
"Acinetobacter","Influenza A","1","increase"
"Acinetobacter","Invasive pneumococcal disease","1","increase"
"Acinetobacter","Kidney stone","1","increase"
"Acinetobacter","Laryngotracheal stenosis","1","increase"
"Acinetobacter","Myasthenia gravis","1","increase"
"Acinetobacter","Obesity","-1","decrease"
"Acinetobacter","Osmotic diarrhea","1","increase"
"Acinetobacter","Otitis Media","-1","decrease"
"Acinetobacter","Pancreatitis","-1","decrease"
"Acinetobacter","Parkinson's Disease","1","increase"
"Acinetobacter","Pelvic inflammatory disease","1","increase"
"Acinetobacter","Pneumonia","-1","decrease"
"Acinetobacter","Primary sclerosing cholangitis-IBD","1","increase"
"Acinetobacter","Pulmonary tubercolosis","1","increase"
"Acinetobacter","Rectal Carcinoma","-1","decrease"
"Acinetobacter","Rheumatoid Arthritis","-1","decrease"
"Acinetobacter","Short Bowel Syndrome","-1","decrease"
"Acinetobacter","Skin and mucosal infections","1","increase"
"Acinetobacter","Stevens-Johnson syndrome","1","increase"
"Acinetobacter","T2D with hypertension and hyperlipidemia","-1","decrease"
"Acinetobacter","Type 2 Diabetes","-1","decrease"
"Acinetobacter","Urogenital Schistosomiasis","1","increase"
"Acinetobacter","allergy","-1","decrease"
"Acinetobacter","colorectal adenomas","1","increase"
"Acinetobacter","diverticular disease","1","increase"
"Acinetobacter","irritable bowel syndrome","-1","decrease"
"Acinetobacter","lung cancer","-1","decrease"
"Acinetobacter","metabolic syndrome","-1","decrease"
"Acinetobacter","ovarian cancer","1","increase"
"Acinetobacter","pancreatic head cancer","1","increase"
"Acinetobacter","rectal cancer","-1","decrease"
"Acinetobacter antiviralis","Aggressive periodontitis","-1","decrease"
"Acinetobacter antiviralis","periodontitis","-1","decrease"
"Acinetobacter baumannii","Aggressive periodontitis","-1","decrease"
"Acinetobacter baumannii","Breast cancer","-1","decrease"
"Acinetobacter baumannii","periodontitis","-1","decrease"
"Acinetobacter calcoaceticus","Aggressive periodontitis","-1","decrease"
"Acinetobacter calcoaceticus","periodontitis","-1","decrease"
"Acinetobacter gerneri","Aggressive periodontitis","-1","decrease"
"Acinetobacter gerneri","periodontitis","-1","decrease"
"Acinetobacter guillouiae","Endometriosis","1","increase"
"Acinetobacter johnsonii","Diaper dermatitis","-1","decrease"
"Acinetobacter johnsonii","Kidney stone","1","increase"
"Acinetobacter johnsonii","diet-induced obesity","-1","decrease"
"Acinetobacter junii","Hepatitis B associated liver failure","1","increase"
"Acinetobacter lwoffii","Diaper dermatitis","1","increase"
"Acinetobacter radioresistens","Breast cancer","-1","decrease"
"Acinetobacter rhizosphaerae","Aggressive periodontitis","-1","decrease"
"Acinetobacter rhizosphaerae","periodontitis","-1","decrease"
"Acremonium","Colorectal cancer","1","increase"
"Acremonium","Dandruff","-1","decrease"
"Acroconidiella","Uveitits","-1","decrease"
"Actinobacillus","Asthma","-1","decrease"
"Actinobacillus","Caries","-1","decrease"
"Actinobacillus","Chagas' disease","1","increase"
"Actinobacillus","Chronic Obstructive Pulmonary Disease","-1","decrease"
"Actinobacillus","Colorectal cancer","1","increase"
"Actinobacillus","Coronary artery disease","1","increase"
"Actinobacillus","Crohn's disease","1","increase"
"Actinobacillus","Oral cancer","-1","decrease"
"Actinobacillus","Otitis Media","1","increase"
"Actinobacillus","Recurrent aphthous stomatitis ","1","increase"
"Actinobacillus","Schizophrenia","-1","decrease"
"Actinobacillus","Smoking","1","increase"
"Actinobacillus","Tetratricopeptide repeat domain 7A deficiency","1","increase"
"Actinobacillus","Type 1 diabetes","1","increase"
"Actinobacillus","X-linked inhibitor of apoptosis deficiency","1","increase"
"Actinobacillus","non-celiac gluten sensitivity","1","increase"
"Actinobacillus actinomycetemcomitans serotype a","periodontitis","1","increase"
"Actinobacillus pleuropneumoniae","Aphthous ulcer","1","increase"
"Actinobacillus pleuropneumoniae","Primary biliary cirrhosis","1","increase"
"Actinobacteria","Alcoholism","-1","decrease"
"Actinobacteria","Alopecia areata","-1","decrease"
"Actinobacteria","Alzheimer disease","1","increase"
"Actinobacteria","Alzheimers disease","1","increase"
"Actinobacteria","Bacterial Vaginosis","1","increase"
"Actinobacteria","Bullous pemphigoid","-1","decrease"
"Actinobacteria","Cardiovascular disease","1","increase"
"Actinobacteria","Cirrhosis","-1","decrease"
"Actinobacteria","Clostridium difficile associated disease","1","increase"
"Actinobacteria","Colon adenomas","1","increase"
"Actinobacteria","Crohn's disease","1","increase"
"Actinobacteria","Cystic Fibrosis","1","increase"
"Actinobacteria","Disease-free ","-1","decrease"
"Actinobacteria","Graft-versus-host-disease","1","increase"
"Actinobacteria","HIV-infected pneumonia","1","increase"
"Actinobacteria","Helicobacter pylori infection","-1","decrease"
"Actinobacteria","Hepatitis B","-1","decrease"
"Actinobacteria","Hepatitis B associated liver failure","-1","decrease"
"Actinobacteria","Hepatocellular cancer","1","increase"
"Actinobacteria","Human end-stage renal disease","-1","decrease"
"Actinobacteria","Inflammatory bowel disease(IBD)","-1","decrease"
"Actinobacteria","Late onset sepsis","-1","decrease"
"Actinobacteria","Liver fibrosis","-1","decrease"
"Actinobacteria","Metabolic syndrome","1","increase"
"Actinobacteria","Multiple Sclerosis","1","increase"
"Actinobacteria","Necrotizing Enterocolitis","-1","decrease"
"Actinobacteria","Obesity","1","increase"
"Actinobacteria","Polycystic Ovary Syndrome","-1","decrease"
"Actinobacteria","Psoriasis","-1","decrease"
"Actinobacteria","Pulmonary tubercolosis","1","increase"
"Actinobacteria","Recurrent Clostridium difficile infection","-1","decrease"
"Actinobacteria","Systemic sclerosis","1","increase"
"Actinobacteria","Type 1 diabetes","1","increase"
"Actinobacteria","Ulcerative colitis","1","increase"
"Actinobacteria","acute pancreatitis","-1","decrease"
"Actinobacteria","alcohol addiction","1","increase"
"Actinobacteria","colonic inflammation","-1","decrease"
"Actinobacteria","colorectal adenoma","1","increase"
"Actinobacteria","colorectal cancer","-1","decrease"
"Actinobacteria","depression","1","increase"
"Actinobacteria","end stage renal disease","-1","decrease"
"Actinobacteria","endometrial cancer","1","increase"
"Actinobacteria","gastrointestinal disorders","-1","decrease"
"Actinobacteria","gestational diabetes mellitus","1","increase"
"Actinobacteria","hepatic lipid metabolism disorder","1","increase"
"Actinobacteria","hepatocellular carcinoma","1","increase"
"Actinobacteria","inflammatory bowel disease","-1","decrease"
"Actinobacteria","intestinal metabolic perturbation","-1","decrease"
"Actinobacteria","intestinal microbiota dysbiosis","-1","decrease"
"Actinobacteria","major depressive disorder","-1","decrease"
"Actinobacteria","microbiota imbalance","-1","decrease"
"Actinobacteria","oral cancer","-1","decrease"
"Actinobacteria","oral squamous cell carcinoma","-1","decrease"
"Actinobacteria","type 2 diabetes","-1","decrease"
"Actinobaculum","Caries","-1","decrease"
"Actinobaculum","Interstitial cystitis","-1","decrease"
"Actinobaculum","Pressure ulcers","-1","decrease"
"Actinobaculum massiliense","Bladder cancer","1","increase"
"Actinobaculum schaalii","Urgency urinary incontinence","1","increase"
"Actinomyces","Alcoholic hepatitis","1","increase"
"Actinomyces","Alcoholism","1","increase"
"Actinomyces","Ankylosing spondylitis","1","increase"
"Actinomyces","Asthma","1","increase"
"Actinomyces","Atopic dermatitis","-1","decrease"
"Actinomyces","Autism spectrum disorders","-1","decrease"
"Actinomyces","Bacterial vaginosis","1","increase"
"Actinomyces","Bleeding gum","-1","decrease"
"Actinomyces","Breast cancer","1","increase"
"Actinomyces","COPD Exacerbation","-1","decrease"
"Actinomyces","Caries","-1","decrease"
"Actinomyces","Celiac Disease, Coaliac disease","-1","decrease"
"Actinomyces","Celiac disease","1","increase"
"Actinomyces","Chagas' disease","-1","decrease"
"Actinomyces","Chronic Obstructive Pulmonary Disease","-1","decrease"
"Actinomyces","Chronic kidney disease","1","increase"
"Actinomyces","Chronic liver disease","-1","decrease"
"Actinomyces","Cirrhosis","-1","decrease"
"Actinomyces","Cirrhosis with pneumonia","1","increase"
"Actinomyces","Colorectal cancer","-1","decrease"
"Actinomyces","Covid-19","1","increase"
"Actinomyces","Crohn's disease","1","increase"
"Actinomyces","Crohns disease","1","increase"
"Actinomyces","Cystic Fibrosis","-1","decrease"
"Actinomyces","Eosinophilic esophagitis","-1","decrease"
"Actinomyces","Extrinsic black stain","1","increase"
"Actinomyces","Gestational diabetes","1","increase"
"Actinomyces","Gestational diabetes + hyperlipidemia","1","increase"
"Actinomyces","Head/Neck cancer","-1","decrease"
"Actinomyces","Helicobacter pylori infection","-1","decrease"
"Actinomyces","Hepatitis B","1","increase"
"Actinomyces","Hepatocellular cancer","1","increase"
"Actinomyces","Hirschsprung's disease","1","increase"
"Actinomyces","Hypertension","1","increase"
"Actinomyces","Influenza A","1","increase"
"Actinomyces","Intrahepatic Cholangiocarcinoma","1","increase"
"Actinomyces","Invasive pneumococcal disease","1","increase"
"Actinomyces","Irritable Bowel Syndrome","1","increase"
"Actinomyces","Macular degeneration","1","increase"
"Actinomyces","Major depressive disorder","1","increase"
"Actinomyces","Microscopic colitis","1","increase"
"Actinomyces","Multiple Sclerosis","1","increase"
"Actinomyces","Oral cancer","1","increase"
"Actinomyces","Oral squamous cell carcinoma","-1","decrease"
"Actinomyces","Osteoporosis","1","increase"
"Actinomyces","Pancreatic head cancer","1","increase"
"Actinomyces","Parkinson's Disease","-1","decrease"
"Actinomyces","Periodontal","-1","decrease"
"Actinomyces","Periodontal disease","-1","decrease"
"Actinomyces","Psoriasis","1","increase"
"Actinomyces","Rheumatoid Arthritis","1","increase"
"Actinomyces","Sarcopenia","1","increase"
"Actinomyces","Schizophrenia","1","increase"
"Actinomyces","Sicca syndrome","1","increase"
"Actinomyces","Sjögren Syndrome","-1","decrease"
"Actinomyces","Smoking","-1","decrease"
"Actinomyces","Systemic lupus erythematosus","1","increase"
"Actinomyces","Tongue cancer","1","increase"
"Actinomyces","Type 2 Diabetes","1","increase"
"Actinomyces","Ulcerative Colitis","1","increase"
"Actinomyces","head and neck squamous cell carcinomas","-1","decrease"
"Actinomyces","oesophageal squamous cell carcinoma","1","increase"
"Actinomyces","periodontitis","-1","decrease"
"Actinomyces dentalis","Edentulism","-1","decrease"
"Actinomyces europaeus","Bladder cancer","1","increase"
"Actinomyces georgiae","Type 2 Diabetes","1","increase"
"Actinomyces gerencseriae","Edentulism","-1","decrease"
"Actinomyces gerencseriae","periodontitis","-1","decrease"
"Actinomyces graevenitzii","Behcet's Disease","-1","decrease"
"Actinomyces graevenitzii","Caries","1","increase"
"Actinomyces israelii","Edentulism","-1","decrease"
"Actinomyces israelii","Type 2 Diabetes","1","increase"
"Actinomyces lingnae","Sicca syndrome","1","increase"
"Actinomyces lingnae","Sjögren Syndrome","1","increase"
"Actinomyces massiliensis","Edentulism","-1","decrease"
"Actinomyces massiliensis","Periodontal disease","-1","decrease"
"Actinomyces massiliensis","Recurrent tonsillitis","1","increase"
"Actinomyces meyeri","Aggressive periodontitis","-1","decrease"
"Actinomyces meyeri","Edentulism","1","increase"
"Actinomyces meyeri","periodontitis","-1","decrease"
"Actinomyces naeslundii","Caries","-1","decrease"
"Actinomyces naeslundii","Chronic kidney disease","1","increase"
"Actinomyces naeslundii","Extrinsic black stain","1","increase"
"Actinomyces naeslundii","Periodontal disease","-1","decrease"
"Actinomyces naeslundii","Type 2 Diabetes","1","increase"
"Actinomyces naeslundii","periodontitis","-1","decrease"
"Actinomyces neuii","Urgency urinary incontinence","1","increase"
"Actinomyces odontolyticus","Autoimmune polyendocrine syndrome type 1","-1","decrease"
"Actinomyces odontolyticus","Celiac Disease, Coaliac disease","1","increase"
"Actinomyces odontolyticus","Edentulism","1","increase"
"Actinomyces odontolyticus","Oral cancer","-1","decrease"
"Actinomyces odontolyticus","colorectal cancer","1","increase"
"Actinomyces odontolyticus","periodontitis","-1","decrease"
"Actinomyces oris","Celiac Disease, Coaliac disease","1","increase"
"Actinomyces sp.","Celiac disease","-1","decrease"
"Actinomyces urogenitalis","Oral potentially malignant disorder","-1","decrease"
"Actinomyces viscosus","Aggressive periodontitis","-1","decrease"
"Actinomyces viscosus","Covid-19","1","increase"
"Actinomyces viscosus","Type 2 Diabetes","1","increase"
"Actinomycetaceae","Bacterial vaginosis","1","increase"
"Actinomycetaceae","Dry eye syndrome","1","increase"
"Actinomycetaceae","Non-alcoholic fatty liver disease","1","increase"
"Actinomycetaceae","Ulcerative Colitis","1","increase"
"Actinomycetales","Celiac disease","1","increase"
"Actinomycetales	","Parkinson's Disease","1","increase"
"Actinomycetales	","Pregnancy","-1","decrease"
"Actinomycetales	","Type 2 Diabetes","-1","decrease"
"Actinotalea","Type 2 Diabetes","1","increase"
"Adlercreutzia","Acute fatty liver","-1","decrease"
"Adlercreutzia","Alcoholism","-1","decrease"
"Adlercreutzia","Alzheimer's Disease","-1","decrease"
"Adlercreutzia","Asthma","1","increase"
"Adlercreutzia","Autism spectrum disorders","-1","decrease"
"Adlercreutzia","Constipation","-1","decrease"
"Adlercreutzia","Crohn's Disease","-1","decrease"
"Adlercreutzia","Excessive vomiting","-1","decrease"
"Adlercreutzia","Helicobacter pylori infection","1","increase"
"Adlercreutzia","Hepatocellular cancer","-1","decrease"
"Adlercreutzia","Multiple Sclerosis","1","increase"
"Adlercreutzia","Obesity","1","increase"
"Adlercreutzia","Type 2 Diabetes","-1","decrease"
"Adlercreutzia","advanced adenomas","1","increase"
"Adlercreutzia equolifaciens","Ulcerative Colitis","-1","decrease"
"Adlercreutzia equolifaciens","primary sclerosing cholangitis","-1","decrease"
"Adlercreutzia spp","alcohol addiction","1","increase"
"Aeribacillus","Cutaneous burn","1","increase"
"Aerococcaceae","Granulomatosis with polyangiitis","-1","decrease"
"Aerococcaceae","Rheumatoid Arthritis","1","increase"
"Aerococcus","Acne","-1","decrease"
"Aerococcus","Autism spectrum disorders","1","increase"
"Aerococcus","Bacterial vaginosis","1","increase"
"Aerococcus","Chlamydia","-1","decrease"
"Aerococcus","Endometriosis","1","increase"
"Aerococcus","Interstitial cystitis","-1","decrease"
"Aerococcus","Myasthenia gravis","-1","decrease"
"Aerococcus","Overactive bladder","1","increase"
"Aerococcus","Urogenital Schistosomiasis","1","increase"
"Aerococcus christensenii","Aerobic vaginitis","1","increase"
"Aerococcus christensenii","Bacterial vaginosis","1","increase"
"Aerococcus christensenii","Chlamydia","1","increase"
"Aerococcus urinae","Urgency urinary incontinence","1","increase"
"Aeromicrobium","Acne","1","increase"
"Aeromicrobium","Vitiligo","-1","decrease"
"Aeromonadaceae","Irritable bowel syndrome(IBS)","1","increase"
"Aeromonas","Bladder cancer","1","increase"
"Aeromonas","Chronic Obstructive Pulmonary Disease","1","increase"
"Aeromonas","Crohn's Disease","1","increase"
"Aeromonas","Cystic Fibrosis","1","increase"
"Aeromonas","T2D with hypertension","1","increase"
"Aeromonas","colorectal cancer","1","increase"
"Aeromonas","inflammatory bowel disease","1","increase"
"Aeromonas","irritable bowel syndrome","1","increase"
"Aestuariimicrobium","Caries","-1","decrease"
"Afipia","Chronic Obstructive Pulmonary Disease","1","increase"
"Afipia","Helicobacter pylori infection","1","increase"
"Agarivorans gilvus","exercise-induced fatigue","-1","decrease"
"Agathobacter","Coronary artery disease","1","increase"
"Agathobacter","Covid-19","-1","decrease"
"Agathobacter","Generalized anxiety disorder","-1","decrease"
"Agathobacter","H1N1 Influenza","-1","decrease"
"Agathobacter","Schizophrenia","-1","decrease"
"Agathobacter","Sjögren Syndrome","-1","decrease"
"Agathobacter_uc","depression","-1","decrease"
"Agathobaculum desmolans","Fibromyalgia","1","increase"
"Aggregatibacter","Alcoholic hepatitis","1","increase"
"Aggregatibacter","Alcoholism","1","increase"
"Aggregatibacter","Asthma","-1","decrease"
"Aggregatibacter","Barrett's oesophagus","-1","decrease"
"Aggregatibacter","Cirrhosis","-1","decrease"
"Aggregatibacter","Gastric carcinoma","1","increase"
"Aggregatibacter","HIV infection","-1","decrease"
"Aggregatibacter","Helicobacter pylori infection","-1","decrease"
"Aggregatibacter","Hepatitis B","-1","decrease"
"Aggregatibacter","Hepatocellular cancer","-1","decrease"
"Aggregatibacter","Iron-deficiency anaemia","-1","decrease"
"Aggregatibacter","Kaposi's sarcoma","-1","decrease"
"Aggregatibacter","Laryngeal carcinoma","1","increase"
"Aggregatibacter","Multiple system atrophy","-1","decrease"
"Aggregatibacter","Obstructive sleep apnea-hypopnea syndrome","1","increase"
"Aggregatibacter","Oral lichen planus","-1","decrease"
"Aggregatibacter","Pancreatic cancer","1","increase"
"Aggregatibacter","Short Bowel Syndrome","1","increase"
"Aggregatibacter","Smoking","-1","decrease"
"Aggregatibacter","Tetratricopeptide repeat domain 7A deficiency","1","increase"
"Aggregatibacter","Tongue cancer","-1","decrease"
"Aggregatibacter","Type 1 diabetes","1","increase"
"Aggregatibacter","Type 2 Diabetes","-1","decrease"
"Aggregatibacter","Ulcerative Colitis","1","increase"
"Aggregatibacter","gastric adenocarcinoma","1","increase"
"Aggregatibacter","head and neck squamous cell carcinoma","-1","decrease"
"Aggregatibacter","periodontitis","-1","decrease"
"Aggregatibacter","throat cancer","1","increase"
"Aggregatibacter actinomycetemcomitans","Obesity","1","increase"
"Aggregatibacter actinomycetemcomitans","Smoking","-1","decrease"
"Aggregatibacter actinomycetemcomitans","Systemic lupus erythematosus","1","increase"
"Aggregatibacter actinomycetemcomitans","Type 2 Diabetes","1","increase"
"Aggregatibacter actinomycetemcomitans","atherosclerosis","1","increase"
"Aggregatibacter actinomycetemcomitans","coronary artery disease","1","increase"
"Aggregatibacter actinomycetemcomitans","pancreatic cancer","1","increase"
"Aggregatibacter aphrophilus","Autoimmune polyendocrine syndrome type 1","-1","decrease"
"Aggregatibacter aphrophilus","Meningococcal disease","1","increase"
"Aggregatibacter aphrophilus","Tuberculosis","-1","decrease"
"Aggregatibacter segnis","Halitosis","1","increase"
"Aggregatibacter segnis","Oropharyngeal cancer","-1","decrease"
"Aggregatibacter segnis","oral squamous cell carcinoma","1","increase"
"Agrobacterium","Atopic dermatitis","-1","decrease"
"Agrobacterium","Clonorchis sinensis infection","1","increase"
"Agrobacterium","Coronary artery disease","-1","decrease"
"Agrobacterium","Rheumatoid Arthritis","1","increase"
"Agrococcus","breast cancer","1","increase"
"Akkermansia","Aggressive periodontitis","-1","decrease"
"Akkermansia","Alcoholism","-1","decrease"
"Akkermansia","Aphthous stomatitis","-1","decrease"
"Akkermansia","Atopic dermatitis","-1","decrease"
"Akkermansia","Autism","-1","decrease"
"Akkermansia","Celiac Disease, Coaliac disease","-1","decrease"
"Akkermansia","Celiac disease","-1","decrease"
"Akkermansia","Chronic kidney disease","-1","decrease"
"Akkermansia","Cirrhosis","-1","decrease"
"Akkermansia","Clostridium difficile infection","-1","decrease"
"Akkermansia","Collagenous colitis","-1","decrease"
"Akkermansia","Coronary artery disease","1","increase"
"Akkermansia","Crohn's Disease","-1","decrease"
"Akkermansia","Drug-resistant Epilepsy","1","increase"
"Akkermansia","Frailty","1","increase"
"Akkermansia","Graft-versus-host-disease","1","increase"
"Akkermansia","HIV infection","-1","decrease"
"Akkermansia","Hepatitis C","1","increase"
"Akkermansia","Hepatocellular cancer","-1","decrease"
"Akkermansia","Hepatocellular carcinoma","-1","decrease"
"Akkermansia","Hypertension","1","increase"
"Akkermansia","IgE-mediated atopic diseases","-1","decrease"
"Akkermansia","Infantile eczema","1","increase"
"Akkermansia","Ischemic stroke","1","increase"
"Akkermansia","Microscopic colitis","-1","decrease"
"Akkermansia","Non-alcoholic fatty liver disease","1","increase"
"Akkermansia","Pancreatic cancer","-1","decrease"
"Akkermansia","Parkinson's disease","1","increase"
"Akkermansia","Parkinsons disease","1","increase"
"Akkermansia","Phenylketonuria","1","increase"
"Akkermansia","Polycystic Ovary Syndrome","-1","decrease"
"Akkermansia","Pouchitis","1","increase"
"Akkermansia","Preeclamsia","-1","decrease"
"Akkermansia","Primary biliary cholangitis","-1","decrease"
"Akkermansia","Psoriatic Arthritis","-1","decrease"
"Akkermansia","Short Bowel Syndrome","-1","decrease"
"Akkermansia","Spinal cord injury","1","increase"
"Akkermansia","Stevens-Johnson syndrome","1","increase"
"Akkermansia","Type 1 diabetes","-1","decrease"
"Akkermansia","Type 2 diabetes mellitus","-1","decrease"
"Akkermansia","Ulcerative Colitis","1","increase"
"Akkermansia","aging","-1","decrease"
"Akkermansia","aging-associated immune changes","-1","decrease"
"Akkermansia","colitis","1","increase"
"Akkermansia","colorectal cancer","-1","decrease"
"Akkermansia","food allergy","-1","decrease"
"Akkermansia","gestational diabetes mellitus","1","increase"
"Akkermansia","inflammatory bowel disease","-1","decrease"
"Akkermansia","metabolic diseases","-1","decrease"
"Akkermansia","metabolic syndrome","-1","decrease"
"Akkermansia","multiple sclerosis","1","increase"
"Akkermansia","obesity","-1","decrease"
"Akkermansia","type 2 diabetes","-1","decrease"
"Akkermansia muciniphila","Allergic asthma","-1","decrease"
"Akkermansia muciniphila","Atopy","-1","decrease"
"Akkermansia muciniphila","Autism","1","increase"
"Akkermansia muciniphila","Clostridium difficile infection","1","increase"
"Akkermansia muciniphila","Coxiella burnetii vascular infection","1","increase"
"Akkermansia muciniphila","Crohn's disease","-1","decrease"
"Akkermansia muciniphila","Crohns disease","-1","decrease"
"Akkermansia muciniphila","Cystic Fibrosis","-1","decrease"
"Akkermansia muciniphila","Esophageal cancer","1","increase"
"Akkermansia muciniphila","Experimental Autoimmune Encephalomyelitis","-1","decrease"
"Akkermansia muciniphila","Hyperlipidemia","-1","decrease"
"Akkermansia muciniphila","Microscopic colitis","-1","decrease"
"Akkermansia muciniphila","Multiple Sclerosis","-1","decrease"
"Akkermansia muciniphila","Multiple system atrophy","1","increase"
"Akkermansia muciniphila","Parkinson's disease","1","increase"
"Akkermansia muciniphila","Prediabetes","-1","decrease"
"Akkermansia muciniphila","Psoriasis","-1","decrease"
"Akkermansia muciniphila","Pulmonary arterial hypertension","-1","decrease"
"Akkermansia muciniphila","Pulmonary tubercolosis","-1","decrease"
"Akkermansia muciniphila","Schizophrenia","1","increase"
"Akkermansia muciniphila","Spleen deficiency syndrome","-1","decrease"
"Akkermansia muciniphila","Type 1 Diabetes","-1","decrease"
"Akkermansia muciniphila","colitis","-1","decrease"
"Akkermansia muciniphila","colorectal cancer","1","increase"
"Akkermansia muciniphila","diet-induced obesity","-1","decrease"
